model_size,method,seed,step,train_format,train_correctness,val_format,val_correctness,pi_correctness,w_correctness,active_groups_correctness,pi_format,w_format,active_groups_format
1.5B,rdgdpo_positive,0,39,0.926757812,1.670104146,,,0.259765625,1.000000000,133.000000000,0.048828125,2.306512519,25.000000000
1.5B,rdgdpo_positive,0,40,0.930175781,1.723955870,0.975000000,1.781966887,0.250000000,1.000000000,128.000000000,0.042968750,2.412090757,22.000000000
1.5B,rdgdpo_positive,0,41,0.940917969,1.757548094,,,0.250000000,1.000000000,128.000000000,0.046875000,2.309401077,24.000000000
1.5B,rdgdpo_positive,0,42,0.934570312,1.667016745,,,0.240234375,1.000000000,123.000000000,0.042968750,2.364510328,22.000000000
1.5B,rdgdpo_positive,0,43,0.929687500,1.837191820,,,0.226562500,1.000000000,116.000000000,0.041015625,2.350278606,21.000000000
1.5B,rdgdpo_positive,0,44,0.922851562,1.710848093,,,0.261718750,1.000000000,134.000000000,0.052734375,2.227770851,27.000000000
1.5B,rdgdpo_positive,0,45,0.927734375,1.696402431,,,0.216796875,1.000000000,111.000000000,0.033203125,2.555271368,17.000000000
1.5B,rdgdpo_positive,0,46,0.937988281,1.753394842,,,0.228515625,1.000000000,117.000000000,0.031250000,2.704163457,16.000000000
1.5B,rdgdpo_positive,0,47,0.944824219,1.713999391,,,0.257812500,1.000000000,132.000000000,0.039062500,2.569046516,20.000000000
1.5B,rdgdpo_positive,0,48,0.929687500,1.694707036,,,0.201171875,1.000000000,103.000000000,0.035156250,2.392116682,18.000000000
1.5B,rdgdpo_positive,0,49,0.925781250,1.848272204,,,0.212890625,1.000000000,109.000000000,0.039062500,2.334523506,20.000000000
1.5B,rdgdpo_positive,0,50,0.942382812,1.760399222,0.975000000,1.744913317,0.226562500,1.000000000,116.000000000,0.048828125,2.154065923,25.000000000
1.5B,rdgdpo_positive,0,51,0.939453125,1.758215547,,,0.187500000,1.000000000,96.000000000,0.042968750,2.088931871,22.000000000
1.5B,rdgdpo_positive,0,52,0.935058594,1.796943307,,,0.208984375,1.000000000,107.000000000,0.029296875,2.670830083,15.000000000
1.5B,rdgdpo_positive,0,53,0.937011719,1.815793037,,,0.173828125,1.000000000,89.000000000,0.027343750,2.521337514,14.000000000
1.5B,rdgdpo_positive,0,54,0.932128906,1.845331073,,,0.214843750,1.000000000,110.000000000,0.033203125,2.543735095,17.000000000
1.5B,rdgdpo_positive,0,55,0.928222656,1.739948273,,,0.166015625,1.000000000,85.000000000,0.031250000,2.304886114,16.000000000
1.5B,rdgdpo_positive,0,56,0.927734375,1.808583617,,,0.191406250,1.000000000,98.000000000,0.023437500,2.857738033,12.000000000
1.5B,rdgdpo_positive,0,57,0.944335938,1.729940176,,,0.199218750,1.000000000,102.000000000,0.031250000,2.524876235,16.000000000
1.5B,rdgdpo_positive,0,58,0.927246094,1.783304691,,,0.187500000,1.000000000,96.000000000,0.029296875,2.529822128,15.000000000
1.5B,rdgdpo_positive,0,59,0.933593750,1.904616475,,,0.160156250,1.000000000,82.000000000,0.044921875,1.888178326,23.000000000
1.5B,rdgdpo_positive,0,60,0.928710938,1.755767226,0.975000000,1.788841889,0.171875000,1.000000000,88.000000000,0.037109375,2.152110347,19.000000000
1.5B,rdgdpo_positive,0,61,0.943847656,1.920997500,,,0.156250000,1.000000000,80.000000000,0.019531250,2.828427125,10.000000000
1.5B,rdgdpo_positive,0,62,0.932617188,1.691759944,,,0.183593750,1.000000000,94.000000000,0.021484375,2.923260944,11.000000000
