model_size,method,seed,step,train_format,train_correctness,val_format,val_correctness,pi_correctness,w_correctness,active_groups_correctness,pi_format,w_format,active_groups_format
1.5B,rdgdpo_positive,1,92,0.943359375,1.957935810,,,0.097656250,1.000000000,50.000000000,0.011718750,2.886751346,6.000000000
1.5B,rdgdpo_positive,1,93,0.941894531,1.867993832,,,0.105468750,1.000000000,54.000000000,0.009765625,3.286335345,5.000000000
1.5B,rdgdpo_positive,1,94,0.942871094,1.932774663,,,0.103515625,1.000000000,53.000000000,0.019531250,2.302172887,10.000000000
1.5B,rdgdpo_positive,1,95,0.929687500,1.846699357,,,0.109375000,1.000000000,56.000000000,0.021484375,2.256304299,11.000000000
1.5B,rdgdpo_positive,1,96,0.939941406,1.839994907,,,0.099609375,1.000000000,51.000000000,0.019531250,2.258317958,10.000000000
1.5B,rdgdpo_positive,1,97,0.942871094,1.881006479,,,0.107421875,1.000000000,55.000000000,0.017578125,2.472066162,9.000000000
1.5B,rdgdpo_positive,1,98,0.944824219,1.883792281,,,0.111328125,1.000000000,57.000000000,0.023437500,2.179449472,12.000000000
1.5B,rdgdpo_positive,1,99,0.921875000,1.858848929,,,0.115234375,1.000000000,59.000000000,0.015625000,2.715695123,8.000000000
1.5B,rdgdpo_positive,1,100,0.942871094,1.936049819,0.975000000,1.704390920,0.101562500,1.000000000,52.000000000,0.013671875,2.725540575,7.000000000
1.5B,rdgdpo_positive,2,0,,,0.025000000,-2.543750000,,,,,,
1.5B,rdgdpo_positive,2,1,0.004882812,-2.440371037,,,0.156250000,1.000000000,80.000000000,0.017578125,2.981423970,9.000000000
1.5B,rdgdpo_positive,2,2,0.005371094,-2.410172462,,,0.162109375,1.000000000,83.000000000,0.019531250,2.880972058,10.000000000
1.5B,rdgdpo_positive,2,3,0.009277344,-2.242288589,,,0.292968750,1.000000000,150.000000000,0.037109375,2.809757435,19.000000000
1.5B,rdgdpo_positive,2,4,0.014648438,-1.665131569,,,0.521484375,1.000000000,267.000000000,0.050781250,3.204564053,26.000000000
1.5B,rdgdpo_positive,2,5,0.039062500,-0.842528105,,,0.669921875,1.000000000,343.000000000,0.130859375,2.262609773,67.000000000
1.5B,rdgdpo_positive,2,6,0.072753906,-0.191384986,,,0.740234375,1.000000000,379.000000000,0.234375000,1.777170035,120.000000000
1.5B,rdgdpo_positive,2,7,0.104980469,0.219522163,,,0.705078125,1.000000000,361.000000000,0.289062500,1.561790379,148.000000000
1.5B,rdgdpo_positive,2,8,0.142089844,0.745389640,,,0.626953125,1.000000000,321.000000000,0.324218750,1.390587983,166.000000000
1.5B,rdgdpo_positive,2,9,0.344238281,0.600365520,,,0.695312500,1.000000000,356.000000000,0.525390625,1.150399963,269.000000000
1.5B,rdgdpo_positive,2,10,0.448730469,0.886409640,0.750000000,1.429713460,0.656250000,1.000000000,336.000000000,0.511718750,1.132449888,262.000000000
1.5B,rdgdpo_positive,2,11,0.541503906,0.927901983,,,0.574218750,1.000000000,294.000000000,0.480468750,1.093216333,246.000000000
1.5B,rdgdpo_positive,2,12,0.704101562,1.045997977,,,0.574218750,1.000000000,294.000000000,0.392578125,1.209415796,201.000000000
1.5B,rdgdpo_positive,2,13,0.802246094,1.176528931,,,0.550781250,1.000000000,282.000000000,0.244140625,1.501998668,125.000000000
1.5B,rdgdpo_positive,2,14,0.822265625,1.162933350,,,0.513671875,1.000000000,263.000000000,0.166015625,1.759010417,85.000000000
1.5B,rdgdpo_positive,2,15,0.842285156,1.313926458,,,0.500000000,1.000000000,256.000000000,0.132812500,1.940285000,68.000000000
1.5B,rdgdpo_positive,2,16,0.836425781,1.283159018,,,0.462890625,1.000000000,237.000000000,0.111328125,2.039091645,57.000000000
1.5B,rdgdpo_positive,2,17,0.858886719,1.374734163,,,0.427734375,1.000000000,219.000000000,0.093750000,2.136000936,48.000000000
1.5B,rdgdpo_positive,2,18,0.854980469,1.314723015,,,0.445312500,1.000000000,228.000000000,0.105468750,2.054804668,54.000000000
1.5B,rdgdpo_positive,2,19,0.877929688,1.446884155,,,0.410156250,1.000000000,210.000000000,0.082031250,2.236067977,42.000000000
1.5B,rdgdpo_positive,2,20,0.874023438,1.506552935,0.937500000,1.481253639,0.404296875,1.000000000,207.000000000,0.091796875,2.098631773,47.000000000
1.5B,rdgdpo_positive,2,21,0.882324219,1.492923379,,,0.406250000,1.000000000,208.000000000,0.068359375,2.437797601,35.000000000
1.5B,rdgdpo_positive,2,22,0.880371094,1.426196098,,,0.435546875,1.000000000,223.000000000,0.087890625,2.226107714,45.000000000
1.5B,rdgdpo_positive,2,23,0.862304688,1.487151265,,,0.380859375,1.000000000,195.000000000,0.095703125,1.994891435,49.000000000
1.5B,rdgdpo_positive,2,24,0.912109375,1.562378049,,,0.378906250,1.000000000,194.000000000,0.093750000,2.010389680,48.000000000
1.5B,rdgdpo_positive,2,25,0.912109375,1.504833817,,,0.373046875,1.000000000,191.000000000,0.087890625,2.060204952,45.000000000
1.5B,rdgdpo_positive,2,26,0.901855469,1.549877644,,,0.339843750,1.000000000,174.000000000,0.107421875,1.778661397,55.000000000
1.5B,rdgdpo_positive,2,27,0.917968750,1.600869894,,,0.316406250,1.000000000,162.000000000,0.082031250,1.963961012,42.000000000
1.5B,rdgdpo_positive,2,28,0.924804688,1.684099793,,,0.333984375,1.000000000,171.000000000,0.076171875,2.093947321,39.000000000
1.5B,rdgdpo_positive,2,29,0.930664062,1.687529087,,,0.339843750,1.000000000,174.000000000,0.054687500,2.492846910,28.000000000
1.5B,rdgdpo_positive,2,30,0.913085938,1.560590863,0.975000000,1.650081065,0.345703125,1.000000000,177.000000000,0.082031250,2.052872552,42.000000000
1.5B,rdgdpo_positive,2,31,0.919433594,1.557783484,,,0.339843750,1.000000000,174.000000000,0.074218750,2.139847511,38.000000000
1.5B,rdgdpo_positive,2,32,0.941406250,1.698580384,,,0.279296875,1.000000000,143.000000000,0.076171875,1.914854216,39.000000000
1.5B,rdgdpo_positive,2,33,0.938476562,1.561623096,,,0.263671875,1.000000000,135.000000000,0.056640625,2.157584857,29.000000000
1.5B,rdgdpo_positive,2,34,0.919921875,1.721296906,,,0.253906250,1.000000000,130.000000000,0.042968750,2.430862174,22.000000000
1.5B,rdgdpo_positive,2,35,0.915039062,1.572206497,,,0.302734375,1.000000000,155.000000000,0.060546875,2.236067977,31.000000000
1.5B,rdgdpo_positive,2,36,0.932617188,1.640106678,,,0.259765625,1.000000000,133.000000000,0.050781250,2.261721604,26.000000000
1.5B,rdgdpo_positive,2,37,0.937500000,1.772556305,,,0.283203125,1.000000000,145.000000000,0.041015625,2.627691364,21.000000000
1.5B,rdgdpo_positive,2,38,0.935058594,1.551894903,,,0.292968750,1.000000000,150.000000000,0.048828125,2.449489743,25.000000000
1.5B,rdgdpo_positive,2,39,0.928710938,1.714840293,,,0.281250000,1.000000000,144.000000000,0.042968750,2.558408596,22.000000000
1.5B,rdgdpo_positive,2,40,0.937988281,1.685275555,0.975000000,1.617345674,0.255859375,1.000000000,131.000000000,0.037109375,2.625783091,19.000000000
1.5B,rdgdpo_positive,2,41,0.936035156,1.709156036,,,0.250000000,1.000000000,128.000000000,0.050781250,2.218800785,26.000000000
1.5B,rdgdpo_positive,2,42,0.915039062,1.618421555,,,0.257812500,1.000000000,132.000000000,0.041015625,2.507132682,21.000000000
1.5B,rdgdpo_positive,2,43,0.929687500,1.685174704,,,0.240234375,1.000000000,123.000000000,0.039062500,2.479919354,20.000000000
1.5B,rdgdpo_positive,2,44,0.949218750,1.799406290,,,0.244140625,1.000000000,125.000000000,0.025390625,3.100868365,13.000000000
1.5B,rdgdpo_positive,2,45,0.938476562,1.765542150,,,0.267578125,1.000000000,137.000000000,0.044921875,2.440598644,23.000000000
1.5B,rdgdpo_positive,2,46,0.920410156,1.717280984,,,0.259765625,1.000000000,133.000000000,0.044921875,2.404705532,23.000000000
1.5B,rdgdpo_positive,2,47,0.936523438,1.794223905,,,0.244140625,1.000000000,125.000000000,0.042968750,2.383656473,22.000000000
1.5B,rdgdpo_positive,2,48,0.921386719,1.761998653,,,0.218750000,1.000000000,112.000000000,0.033203125,2.566755792,17.000000000
1.5B,rdgdpo_positive,2,49,0.937011719,1.635646343,,,0.216796875,1.000000000,111.000000000,0.041015625,2.299068134,21.000000000
1.5B,rdgdpo_positive,2,50,0.924316406,1.760832548,0.975000000,1.653149246,0.232421875,1.000000000,119.000000000,0.039062500,2.439262184,20.000000000
1.5B,rdgdpo_positive,2,51,0.924316406,1.674125314,,,0.238281250,1.000000000,122.000000000,0.044921875,2.303116981,23.000000000
1.5B,rdgdpo_positive,2,52,0.933105469,1.849066615,,,0.218750000,1.000000000,112.000000000,0.031250000,2.645751311,16.000000000
1.5B,rdgdpo_positive,2,53,0.921875000,1.689143658,,,0.214843750,1.000000000,110.000000000,0.035156250,2.472066162,18.000000000
1.5B,rdgdpo_positive,2,54,0.935546875,1.777121305,,,0.171875000,1.000000000,88.000000000,0.041015625,2.047065263,21.000000000
1.5B,rdgdpo_positive,2,55,0.952636719,1.767618895,,,0.187500000,1.000000000,96.000000000,0.035156250,2.309401077,18.000000000
1.5B,rdgdpo_positive,2,56,0.941406250,1.787893057,,,0.242187500,1.000000000,124.000000000,0.037109375,2.554665495,19.000000000
1.5B,rdgdpo_positive,2,57,0.950683594,1.766698360,,,0.187500000,1.000000000,96.000000000,0.013671875,3.703280399,7.000000000
1.5B,rdgdpo_positive,2,58,0.941406250,1.816044807,,,0.240234375,1.000000000,123.000000000,0.033203125,2.689850204,17.000000000
1.5B,rdgdpo_positive,2,59,0.923828125,1.770185232,,,0.181640625,1.000000000,93.000000000,0.035156250,2.273030283,18.000000000
1.5B,rdgdpo_positive,2,60,0.933593750,1.795220137,0.975000000,1.664303197,0.175781250,1.000000000,90.000000000,0.027343750,2.535462764,14.000000000
1.5B,rdgdpo_positive,2,61,0.933105469,1.824323654,,,0.203125000,1.000000000,104.000000000,0.033203125,2.473387770,17.000000000
1.5B,rdgdpo_positive,2,62,0.940917969,1.783210635,,,0.208984375,1.000000000,107.000000000,0.035156250,2.438123140,18.000000000
1.5B,rdgdpo_positive,2,63,0.953125000,1.903157115,,,0.185546875,1.000000000,95.000000000,0.015625000,3.446012188,8.000000000
1.5B,rdgdpo_positive,2,64,0.948730469,1.724685311,,,0.210937500,1.000000000,108.000000000,0.021484375,3.133397807,11.000000000
1.5B,rdgdpo_positive,2,65,0.953125000,1.855561256,,,0.191406250,1.000000000,98.000000000,0.021484375,2.984810029,11.000000000
1.5B,rdgdpo_positive,2,66,0.937500000,1.824177623,,,0.166015625,1.000000000,85.000000000,0.037109375,2.115108558,19.000000000
1.5B,rdgdpo_positive,2,67,0.938476562,1.810245991,,,0.183593750,1.000000000,94.000000000,0.029296875,2.503331114,15.000000000
1.5B,rdgdpo_positive,2,68,0.925292969,1.810467958,,,0.160156250,1.000000000,82.000000000,0.025390625,2.511511957,13.000000000
1.5B,rdgdpo_positive,2,69,0.948730469,1.789382219,,,0.156250000,1.000000000,80.000000000,0.025390625,2.480694692,13.000000000
1.5B,rdgdpo_positive,2,70,0.931640625,1.919739485,0.975000000,1.755329982,0.164062500,1.000000000,84.000000000,0.023437500,2.645751311,12.000000000
1.5B,rdgdpo_positive,2,71,0.925781250,1.808023095,,,0.167968750,1.000000000,86.000000000,0.035156250,2.185812841,18.000000000
1.5B,rdgdpo_positive,2,72,0.953613281,1.901190042,,,0.150390625,1.000000000,77.000000000,0.011718750,3.582364210,6.000000000
1.5B,rdgdpo_positive,2,73,0.924316406,1.828569174,,,0.158203125,1.000000000,81.000000000,0.031250000,2.250000000,16.000000000
1.5B,rdgdpo_positive,2,74,0.944335938,1.906988025,,,0.167968750,1.000000000,86.000000000,0.027343750,2.478478796,14.000000000
1.5B,rdgdpo_positive,2,75,0.951660156,1.846147180,,,0.146484375,1.000000000,75.000000000,0.005859375,5.000000000,3.000000000
1.5B,rdgdpo_positive,2,76,0.952636719,1.853559136,,,0.167968750,1.000000000,86.000000000,0.019531250,2.932575660,10.000000000
1.5B,rdgdpo_positive,2,77,0.935546875,1.778426886,,,0.142578125,1.000000000,73.000000000,0.025390625,2.369680277,13.000000000
1.5B,rdgdpo_positive,2,78,0.933105469,1.811010718,,,0.152343750,1.000000000,78.000000000,0.035156250,2.081665999,18.000000000
1.5B,rdgdpo_positive,2,79,0.948242188,1.876995206,,,0.142578125,1.000000000,73.000000000,0.035156250,2.013840996,18.000000000
1.5B,rdgdpo_positive,2,80,0.940429688,1.881304502,0.975000000,1.781827237,0.156250000,1.000000000,80.000000000,0.027343750,2.390457219,14.000000000
1.5B,rdgdpo_positive,2,81,0.948730469,1.790510416,,,0.160156250,1.000000000,82.000000000,0.041015625,1.976047040,21.000000000
1.5B,rdgdpo_positive,2,82,0.936035156,1.880403280,,,0.152343750,1.000000000,78.000000000,0.033203125,2.142016642,17.000000000
1.5B,rdgdpo_positive,2,83,0.939941406,1.845334053,,,0.128906250,1.000000000,66.000000000,0.048828125,1.624807681,25.000000000
1.5B,rdgdpo_positive,2,84,0.958496094,1.876900315,,,0.142578125,1.000000000,73.000000000,0.017578125,2.848001248,9.000000000
1.5B,rdgdpo_positive,2,85,0.954101562,1.996356249,,,0.115234375,1.000000000,59.000000000,0.027343750,2.052872552,14.000000000
1.5B,rdgdpo_positive,2,86,0.934570312,1.714195967,,,0.158203125,1.000000000,81.000000000,0.037109375,2.064741605,19.000000000
1.5B,rdgdpo_positive,2,87,0.942382812,1.841471314,,,0.128906250,1.000000000,66.000000000,0.031250000,2.031009601,16.000000000
1.5B,rdgdpo_positive,2,88,0.946777344,1.890127182,,,0.136718750,1.000000000,70.000000000,0.027343750,2.236067977,14.000000000
1.5B,rdgdpo_positive,2,89,0.937500000,1.881572604,,,0.146484375,1.000000000,75.000000000,0.048828125,1.732050808,25.000000000
1.5B,rdgdpo_positive,2,90,0.941894531,1.843837380,0.975000000,1.756181318,0.115234375,1.000000000,59.000000000,0.031250000,1.920286437,16.000000000
1.5B,rdgdpo_positive,2,91,0.958496094,1.872550130,,,0.134765625,1.000000000,69.000000000,0.027343750,2.220038610,14.000000000
1.5B,rdgdpo_positive,2,92,0.951171875,1.852023482,,,0.130859375,1.000000000,67.000000000,0.041015625,1.786190413,21.000000000
1.5B,rdgdpo_positive,2,93,0.956054688,1.777602911,,,0.146484375,1.000000000,75.000000000,0.035156250,2.041241452,18.000000000
1.5B,rdgdpo_positive,2,94,0.963378906,1.928558350,,,0.121093750,1.000000000,62.000000000,0.029296875,2.033060091,15.000000000
1.5B,rdgdpo_positive,2,95,0.947753906,1.838496447,,,0.138671875,1.000000000,71.000000000,0.050781250,1.652503928,26.000000000
1.5B,rdgdpo_positive,2,96,0.936523438,1.876202703,,,0.121093750,1.000000000,62.000000000,0.042968750,1.678744119,22.000000000
1.5B,rdgdpo_positive,2,97,0.948730469,1.966188312,,,0.113281250,1.000000000,58.000000000,0.023437500,2.198484326,12.000000000
1.5B,rdgdpo_positive,2,98,0.950683594,1.823193431,,,0.146484375,1.000000000,75.000000000,0.035156250,2.041241452,18.000000000
1.5B,rdgdpo_positive,2,99,0.953613281,1.912407517,,,0.134765625,1.000000000,69.000000000,0.037109375,1.905670209,19.000000000
1.5B,rdgdpo_positive,2,100,0.941406250,1.854101419,0.975000000,1.687309563,0.101562500,1.000000000,52.000000000,0.031250000,1.802775638,16.000000000
1.5B,rdgdpo_positive,4,0,,,0.025000000,-2.587500000,,,,,,
1.5B,rdgdpo_positive,4,1,0.006835938,-2.449694633,,,0.158203125,1.000000000,81.000000000,0.023437500,2.598076211,12.000000000
1.5B,rdgdpo_positive,4,2,0.007812500,-2.488208055,,,0.152343750,1.000000000,78.000000000,0.025390625,2.449489743,13.000000000
1.5B,rdgdpo_positive,4,3,0.007812500,-2.303438187,,,0.281250000,1.000000000,144.000000000,0.031250000,3.000000000,16.000000000
1.5B,rdgdpo_positive,4,4,0.015136719,-1.895775676,,,0.445312500,1.000000000,228.000000000,0.050781250,2.961288701,26.000000000
1.5B,rdgdpo_positive,4,5,0.038085938,-1.037412047,,,0.669921875,1.000000000,343.000000000,0.126953125,2.297155432,65.000000000
1.5B,rdgdpo_positive,4,6,0.052246094,-0.118163168,,,0.675781250,1.000000000,346.000000000,0.164062500,2.029543697,84.000000000
1.5B,rdgdpo_positive,4,7,0.105468750,0.260716498,,,0.689453125,1.000000000,353.000000000,0.304687500,1.504267434,156.000000000
1.5B,rdgdpo_positive,4,8,0.198242188,0.651884317,,,0.656250000,1.000000000,336.000000000,0.382812500,1.309307341,196.000000000
1.5B,rdgdpo_positive,4,9,0.335937500,0.858144164,,,0.621093750,1.000000000,318.000000000,0.509765625,1.103807413,261.000000000
1.5B,rdgdpo_positive,4,10,0.451171875,0.921011925,0.800000000,1.419229831,0.603515625,1.000000000,309.000000000,0.464843750,1.139438163,238.000000000
1.5B,rdgdpo_positive,4,11,0.577148438,1.013466120,,,0.554687500,1.000000000,284.000000000,0.455078125,1.104030851,233.000000000
1.5B,rdgdpo_positive,4,12,0.716308594,1.072218537,,,0.556640625,1.000000000,285.000000000,0.322265625,1.314257481,165.000000000
1.5B,rdgdpo_positive,4,13,0.815917969,1.106970310,,,0.558593750,1.000000000,286.000000000,0.230468750,1.556832943,118.000000000
1.5B,rdgdpo_positive,4,14,0.831054688,1.197553635,,,0.500000000,1.000000000,256.000000000,0.171875000,1.705605731,88.000000000
1.5B,rdgdpo_positive,4,15,0.851074219,1.243345976,,,0.503906250,1.000000000,258.000000000,0.154296875,1.807158760,79.000000000
1.5B,rdgdpo_positive,4,16,0.866699219,1.343136311,,,0.441406250,1.000000000,226.000000000,0.115234375,1.957168484,59.000000000
1.5B,rdgdpo_positive,4,17,0.860839844,1.474637270,,,0.417968750,1.000000000,214.000000000,0.099609375,2.048433165,51.000000000
1.5B,rdgdpo_positive,4,18,0.846191406,1.427324772,,,0.412109375,1.000000000,211.000000000,0.117187500,1.875277757,60.000000000
1.5B,rdgdpo_positive,4,19,0.872558594,1.399575353,,,0.427734375,1.000000000,219.000000000,0.087890625,2.206052281,45.000000000
1.5B,rdgdpo_positive,4,20,0.844726562,1.447298169,0.925000000,1.592658175,0.373046875,1.000000000,191.000000000,0.091796875,2.015894290,47.000000000
1.5B,rdgdpo_positive,4,21,0.877441406,1.559368849,,,0.376953125,1.000000000,193.000000000,0.068359375,2.348251629,35.000000000
1.5B,rdgdpo_positive,4,22,0.864257812,1.416951776,,,0.373046875,1.000000000,191.000000000,0.095703125,1.974324994,49.000000000
1.5B,rdgdpo_positive,4,23,0.878417969,1.608188391,,,0.343750000,1.000000000,176.000000000,0.064453125,2.309401077,33.000000000
1.5B,rdgdpo_positive,4,24,0.879394531,1.672425270,,,0.320312500,1.000000000,164.000000000,0.072265625,2.105334280,37.000000000
1.5B,rdgdpo_positive,4,25,0.911132812,1.626796365,,,0.361328125,1.000000000,185.000000000,0.080078125,2.124192817,41.000000000
1.5B,rdgdpo_positive,4,26,0.904785156,1.595500708,,,0.304687500,1.000000000,156.000000000,0.083984375,1.904706533,43.000000000
1.5B,rdgdpo_positive,4,27,0.898437500,1.529018283,,,0.330078125,1.000000000,169.000000000,0.070312500,2.166666667,36.000000000
1.5B,rdgdpo_positive,4,28,0.929687500,1.637984633,,,0.310546875,1.000000000,159.000000000,0.054687500,2.382975331,28.000000000
1.5B,rdgdpo_positive,4,29,0.923339844,1.515562415,,,0.298828125,1.000000000,153.000000000,0.078125000,1.955760722,40.000000000
1.5B,rdgdpo_positive,4,30,0.918457031,1.599171042,0.975000000,1.683952817,0.324218750,1.000000000,166.000000000,0.054687500,2.434865793,28.000000000
1.5B,rdgdpo_positive,4,31,0.930664062,1.717860818,,,0.269531250,1.000000000,138.000000000,0.042968750,2.504541330,22.000000000
1.5B,rdgdpo_positive,4,32,0.923339844,1.711641073,,,0.275390625,1.000000000,141.000000000,0.062500000,2.099106953,32.000000000
1.5B,rdgdpo_positive,4,33,0.930664062,1.745895028,,,0.257812500,1.000000000,132.000000000,0.042968750,2.449489743,22.000000000
1.5B,rdgdpo_positive,4,34,0.928710938,1.567680001,,,0.300781250,1.000000000,154.000000000,0.033203125,3.009787954,17.000000000
1.5B,rdgdpo_positive,4,35,0.940429688,1.765861392,,,0.234375000,1.000000000,120.000000000,0.037109375,2.513123450,19.000000000
1.5B,rdgdpo_positive,4,36,0.931152344,1.757734776,,,0.220703125,1.000000000,113.000000000,0.029296875,2.744691847,15.000000000
1.5B,rdgdpo_positive,4,37,0.937011719,1.769307971,,,0.230468750,1.000000000,118.000000000,0.037109375,2.492092758,19.000000000
1.5B,rdgdpo_positive,4,38,0.929199219,1.654042959,,,0.251953125,1.000000000,129.000000000,0.033203125,2.754675170,17.000000000
1.5B,rdgdpo_positive,4,39,0.929687500,1.775700927,,,0.228515625,1.000000000,117.000000000,0.044921875,2.255428235,23.000000000
1.5B,rdgdpo_positive,4,40,0.937500000,1.673942089,0.975000000,1.750262344,0.253906250,1.000000000,130.000000000,0.048828125,2.280350850,25.000000000
1.5B,rdgdpo_positive,4,41,0.918945312,1.714419603,,,0.218750000,1.000000000,112.000000000,0.044921875,2.206709137,23.000000000
1.5B,rdgdpo_positive,4,42,0.940429688,1.731287003,,,0.263671875,1.000000000,135.000000000,0.042968750,2.477168472,22.000000000
1.5B,rdgdpo_positive,4,43,0.930664062,1.695794702,,,0.220703125,1.000000000,113.000000000,0.048828125,2.126029163,25.000000000
1.5B,rdgdpo_positive,4,44,0.936035156,1.695822477,,,0.222656250,1.000000000,114.000000000,0.037109375,2.449489743,19.000000000
1.5B,rdgdpo_positive,4,45,0.943847656,1.770905256,,,0.193359375,1.000000000,99.000000000,0.035156250,2.345207880,18.000000000
1.5B,rdgdpo_positive,4,46,0.928710938,1.754850149,,,0.228515625,1.000000000,117.000000000,0.042968750,2.306118344,22.000000000
1.5B,rdgdpo_positive,4,47,0.928222656,1.670199752,,,0.238281250,1.000000000,122.000000000,0.039062500,2.469817807,20.000000000
1.5B,rdgdpo_positive,4,48,0.932617188,1.690781832,,,0.179687500,1.000000000,92.000000000,0.031250000,2.397915762,16.000000000
1.5B,rdgdpo_positive,4,49,0.928710938,1.897106171,,,0.197265625,1.000000000,101.000000000,0.039062500,2.247220505,20.000000000
1.5B,rdgdpo_positive,4,50,0.933593750,1.753256083,0.975000000,1.777591888,0.181640625,1.000000000,93.000000000,0.035156250,2.273030283,18.000000000
1.5B,rdgdpo_positive,4,51,0.930664062,1.746376634,,,0.197265625,1.000000000,101.000000000,0.031250000,2.512468905,16.000000000
1.5B,rdgdpo_positive,4,52,0.938476562,1.793077826,,,0.177734375,1.000000000,91.000000000,0.029296875,2.463060427,15.000000000
1.5B,rdgdpo_positive,4,53,0.929199219,1.864158750,,,0.203125000,1.000000000,104.000000000,0.035156250,2.403700850,18.000000000
1.5B,rdgdpo_positive,4,54,0.929687500,1.844618082,,,0.185546875,1.000000000,95.000000000,0.033203125,2.363944859,17.000000000
1.5B,rdgdpo_positive,4,55,0.947753906,1.850485086,,,0.191406250,1.000000000,98.000000000,0.025390625,2.745625892,13.000000000
1.5B,rdgdpo_positive,4,56,0.943359375,1.750824451,,,0.181640625,1.000000000,93.000000000,0.023437500,2.783882181,12.000000000
1.5B,rdgdpo_positive,4,57,0.937988281,1.886004806,,,0.179687500,1.000000000,92.000000000,0.025390625,2.660248687,13.000000000
1.5B,rdgdpo_positive,4,58,0.938476562,1.777965903,,,0.169921875,1.000000000,87.000000000,0.027343750,2.492846910,14.000000000
1.5B,rdgdpo_positive,4,59,0.940429688,1.848497987,,,0.171875000,1.000000000,88.000000000,0.011718750,3.829708431,6.000000000
1.5B,rdgdpo_positive,4,60,0.933593750,1.835887551,0.975000000,1.825879433,0.171875000,1.000000000,88.000000000,0.031250000,2.345207880,16.000000000
1.5B,rdgdpo_positive,4,61,0.933593750,1.842884302,,,0.156250000,1.000000000,80.000000000,0.029296875,2.309401077,15.000000000
1.5B,rdgdpo_positive,4,62,0.948242188,1.843978882,,,0.146484375,1.000000000,75.000000000,0.025390625,2.401922307,13.000000000
1.5B,rdgdpo_positive,4,63,0.938476562,1.783090353,,,0.166015625,1.000000000,85.000000000,0.025390625,2.557041560,13.000000000
1.5B,rdgdpo_positive,4,64,0.955078125,1.862106085,,,0.144531250,1.000000000,74.000000000,0.025390625,2.385855757,13.000000000
1.5B,rdgdpo_positive,4,65,0.943359375,1.924597859,,,0.132812500,1.000000000,68.000000000,0.037109375,1.891810606,19.000000000
1.5B,rdgdpo_positive,4,66,0.925781250,1.846904755,,,0.164062500,1.000000000,84.000000000,0.025390625,2.541955637,13.000000000
1.5B,rdgdpo_positive,4,67,0.927246094,1.783026218,,,0.140625000,1.000000000,72.000000000,0.023437500,2.449489743,12.000000000
1.5B,rdgdpo_positive,4,68,0.937988281,1.852957129,,,0.150390625,1.000000000,77.000000000,0.019531250,2.774887385,10.000000000
1.5B,rdgdpo_positive,4,69,0.957031250,1.856193304,,,0.144531250,1.000000000,74.000000000,0.019531250,2.720294102,10.000000000
1.5B,rdgdpo_positive,4,70,0.928222656,1.810066581,0.975000000,1.823200862,0.146484375,1.000000000,75.000000000,0.007812500,4.330127019,4.000000000
1.5B,rdgdpo_positive,4,71,0.943359375,1.839782834,,,0.136718750,1.000000000,70.000000000,0.019531250,2.645751311,10.000000000
1.5B,rdgdpo_positive,4,72,0.942382812,1.896273255,,,0.113281250,1.000000000,58.000000000,0.017578125,2.538591035,9.000000000
1.5B,rdgdpo_positive,4,73,0.930175781,1.899288654,,,0.166015625,1.000000000,85.000000000,0.017578125,3.073181486,9.000000000
1.5B,rdgdpo_positive,4,74,0.922851562,1.871324539,,,0.121093750,1.000000000,62.000000000,0.009765625,3.521363372,5.000000000
1.5B,rdgdpo_positive,4,75,0.947265625,1.898393273,,,0.144531250,1.000000000,74.000000000,0.017578125,2.867441756,9.000000000
1.5B,rdgdpo_positive,4,76,0.951171875,1.864152312,,,0.126953125,1.000000000,65.000000000,0.021484375,2.430862174,11.000000000
1.5B,rdgdpo_positive,4,77,0.943847656,1.847488165,,,0.115234375,1.000000000,59.000000000,0.025390625,2.130366527,13.000000000
1.5B,rdgdpo_positive,4,78,0.945800781,1.793915510,,,0.125000000,1.000000000,64.000000000,0.015625000,2.828427125,8.000000000
1.5B,rdgdpo_positive,4,79,0.938476562,1.821209311,,,0.160156250,1.000000000,82.000000000,0.025390625,2.511511957,13.000000000
1.5B,rdgdpo_positive,4,80,0.940429688,1.929943204,0.975000000,1.793496189,0.138671875,1.000000000,71.000000000,0.013671875,3.184785259,7.000000000
1.5B,rdgdpo_positive,4,81,0.941894531,1.836807251,,,0.113281250,1.000000000,58.000000000,0.015625000,2.692582404,8.000000000
1.5B,rdgdpo_positive,4,82,0.950683594,1.945289850,,,0.138671875,1.000000000,71.000000000,0.023437500,2.432419920,12.000000000
1.5B,rdgdpo_positive,4,83,0.940429688,1.780265570,,,0.138671875,1.000000000,71.000000000,0.029296875,2.175622516,15.000000000
1.5B,rdgdpo_positive,4,84,0.924804688,1.873740673,,,0.148437500,1.000000000,76.000000000,0.017578125,2.905932629,9.000000000
1.5B,rdgdpo_positive,4,85,0.961914062,1.915762305,,,0.109375000,1.000000000,56.000000000,0.017578125,2.494438258,9.000000000
1.5B,rdgdpo_positive,4,86,0.957031250,1.912596464,,,0.123046875,1.000000000,63.000000000,0.019531250,2.509980080,10.000000000
1.5B,rdgdpo_positive,4,87,0.912109375,1.784218311,,,0.111328125,1.000000000,57.000000000,0.017578125,2.516611478,9.000000000
1.5B,rdgdpo_positive,4,88,0.923828125,1.936366796,,,0.121093750,1.000000000,62.000000000,0.023437500,2.273030283,12.000000000
