model_size,method,seeds,v3_live_n,v3_live_mean,v3_live_sample_sd,v3_non_live_n,v3_non_live_mean,v3_non_live_sample_sd,v4_live_accuracy_n,v4_live_accuracy_mean,v4_live_accuracy_sample_sd,v4_non_live_accuracy_n,v4_non_live_accuracy_mean,v4_non_live_accuracy_sample_sd,v4_multi_turn_accuracy_n,v4_multi_turn_accuracy_mean,v4_multi_turn_accuracy_sample_sd,v4_average_accuracy_n,v4_average_accuracy_mean,v4_average_accuracy_sample_sd,v4_live_format_n,v4_live_format_mean,v4_live_format_sample_sd,v4_non_live_format_n,v4_non_live_format_mean,v4_non_live_format_sample_sd,v4_multi_turn_format_n,v4_multi_turn_format_mean,v4_multi_turn_format_sample_sd,v4_average_format_n,v4_average_format_mean,v4_average_format_sample_sd
1.5B,rdgdpo_positive,0/1/2/4/5,5,68.349371,0.932760,5,79.108333,1.873981,5,68.097705,1.318914,5,79.179167,1.569816,5,4.500000,0.265165,5,50.592291,0.895825,5,99.674315,0.433503,5,99.866667,0.191848,5,94.165371,0.586278,5,97.902118,0.336791
3B,rdgdpo_positive,0/1/2/4,0,,,0,,,4,69.504071,1.795889,4,82.229167,0.747875,4,9.156250,1.535602,4,53.629829,1.184691,4,99.944486,0.037010,4,99.979167,0.041667,4,89.571618,3.226219,4,96.498423,1.077358
