step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,gd2po_hard/conflict_ratio,gd2po_hard/keep_ratio,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/adv,timing_per_token_ms/update_actor,timing_per_token_ms/ref,timing_per_token_ms/gen,timing_s/testing,timing_s/save_checkpoint
0,1.0617072492837907,0.0875,0.9742072492837905,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,460200,486039,25839,471238,471239,471238.75,-2.915258301072754e-05,0.001,0.03271484375,0.96728515625,0.6283904379233718,-0.03593337017809972,0.0,0.0,35.659016609191895,0.38606269587459036,1e-06,-0.5239455103874207,4.0,-3.0,0.0458984375,1.0,0.0,-0.5698439478874207,3.0,-3.0,0.0,0.0,0.0,-0.5238460898399353,4.00131893157959,-3.031709909439087,-6.785020101318651e-09,0.969729483127594,3.5021088123321533,-3.6716978549957275,-6.785020101318651e-09,3.5021088123321533,-3.6716978549957275,175.69482421875,1024.0,26.0,0.01611328125,744.693359375,2048.0,414.0,0.00390625,63.115761290013324,21.101125060988124,1.46932853400358,84.69654944801005,170.4795065249782,0.0007795032422543668,0.04493292914048879,0.011194498044244093,0.1754078013079023,,
2,,,,,463979,500498,36519,477741,477742,477741.5,-6.257522909436375e-05,0.001,0.02880859375,0.97119140625,0.569823959108555,-0.024931988227322247,0.0064788171809844,0.005164474529341202,63.703450202941895,0.41020602847924326,1e-06,-0.5871127843856812,4.0,-3.0,0.060546875,1.0,0.0,-0.6476596593856812,3.0,-3.0,0.0,0.0,0.0,-0.587121307849884,4.0009894371032715,-3.017935037612915,6.7925141067348704e-09,0.9747207760810852,3.5074265003204346,-3.6286661624908447,6.7925141067348704e-09,3.5074265003204346,-3.6286661624908447,175.5009765625,1024.0,17.0,0.0166015625,757.587890625,2048.0,418.0,0.001953125,75.36296077701263,21.576177500013728,1.5563947939954232,80.90661872201599,179.51709334700718,0.0008144544664820951,0.042338073373370325,0.01129071762658976,0.20967587424675074,,
3,,,,,482414,515381,32967,499866,499866,499866.0,-0.0014731992268934846,0.001,0.046875,0.953125,0.4310347080230713,0.006991483763392483,0.0033048697082059724,0.000512902531357083,41.752331256866455,0.4134079444537346,1e-06,-0.24545136094093323,4.0,-3.0,0.0693359375,1.0,0.0,-0.31478726863861084,3.0,-3.0,0.0,0.0,0.0,-0.24381229281425476,4.000553607940674,-3.004000186920166,1.2717644715110055e-09,0.9623377323150635,3.5313947200775146,-3.6635866165161133,1.2717644715110055e-09,3.5313947200775146,-3.6635866165161133,187.470703125,1024.0,26.0,0.01416015625,788.830078125,2048.0,402.0,0.0078125,66.78422157999012,23.105926543008536,1.4042283140006475,84.18634319800185,175.59116779299802,0.0007023023740365655,0.042104455593099874,0.011556060295663506,0.17394442251390874,,
4,,,,,478718,504141,25423,488204,488205,488204.75,-0.004910182673484087,0.001,0.0576171875,0.9423828125,0.5197709901258349,-0.03873684085556306,0.011365365302481223,0.0061171739052952034,37.90968418121338,0.41084906360368606,1e-06,0.637197732925415,4.0,-3.0,0.10205078125,1.0,0.0,0.535146951675415,3.0,-3.0,0.0,0.0,0.0,0.6439940333366394,4.000376224517822,-3.0052943229675293,1.2022797868382895e-08,0.9535485506057739,3.557692527770996,-3.6027634143829346,1.2022797868382895e-08,3.557692527770996,-3.6027634143829346,188.39013671875,1024.0,21.0,0.017578125,765.134765625,2048.0,418.0,0.00390625,66.36762907201773,22.22956945298938,1.4541871580004226,82.77833144797478,172.93069481200655,0.0007446604923448731,0.04238914689378523,0.011383323007912859,0.17201574056502006,,
5,,,,,482797,521896,39099,497741,497742,497741.25,-0.00438656285405159,0.001,0.05517578125,0.94482421875,0.5206879938350004,-0.03706602489247041,0.004080468247754171,0.00908710238484352,46.42360591888428,0.40502737785442694,1e-06,0.8915950059890747,4.0,-3.0,0.17822265625,1.0,0.0,0.7133723497390747,3.0,-3.0,0.0,0.0,0.0,0.9006957411766052,4.2061076164245605,-3.0043599605560303,1.7468432256251276e-09,0.9609095454216003,3.620204210281372,-3.5429623126983643,1.7468432256251276e-09,3.620204210281372,-3.5429623126983643,196.19775390625,1024.0,23.0,0.01708984375,775.953125,2048.0,424.0,0.00390625,67.06099900198751,22.251346395001747,2.036524166003801,85.6320081599988,177.09486475400627,0.0010228829567590595,0.043010303124363714,0.011176161507109239,0.16689604119823775,,
6,,,,,470686,496880,26194,484424,484425,484424.5,0.0020594862289726734,0.001,0.091796875,0.908203125,0.48420122312381864,-0.04240873150411062,0.00476467428234173,0.0029823063923686277,55.92830300331116,0.4120775664265426,1e-06,1.3660813570022583,4.0,-3.0,0.31103515625,1.0,0.0,1.0550462007522583,3.0,-3.0,0.0,0.0,0.0,1.376009464263916,4.252696514129639,-3.010138750076294,7.760227127562302e-09,0.9215362668037415,3.1165952682495117,-3.2053143978118896,7.760227127562302e-09,3.1165952682495117,-3.2053143978118896,184.3388671875,1024.0,26.0,0.017578125,761.802734375,2048.0,393.0,0.005859375,67.7725838519982,21.74863878398901,1.4365795340272598,81.86133566999342,172.9345665910223,0.0007413846399321565,0.042246694619075535,0.011223956872530708,0.17951765931882363,,
7,,,,,464254,490247,25993,477826,477827,477826.75,0.0203142948448658,0.001,0.0869140625,0.9130859375,0.3773172488436103,-0.09509751875884831,0.0029625069910252932,0.0008298109587485669,38.80193758010864,0.408618924066272,1e-06,1.6098873615264893,4.0,-3.0,0.45263671875,1.0,0.0,1.1572507619857788,3.0,-3.0,0.0,0.0,0.0,1.6123793125152588,4.001096248626709,-3.011786460876465,1.291420659299547e-08,0.9014891386032104,3.2529897689819336,-3.1657469272613525,1.291420659299547e-08,3.2529897689819336,-3.1657469272613525,170.77099609375,1024.0,20.0,0.00634765625,762.484375,2048.0,389.0,0.00390625,61.36494856001809,22.004664504987886,1.4833804419904482,81.30383873000392,166.29713626101147,0.0007761078895177217,0.04253834613173285,0.011512888565252932,0.175459266939112,,
8,,,,,448846,496207,47361,474080,474081,474080.5,0.037053339183330536,0.001,0.06396484375,0.93603515625,0.4204932153224945,0.03586566264857538,0.004039017854665872,0.007473947843834594,26.26714324951172,0.40088709801463257,1e-06,1.969416618347168,4.0,-3.0,0.64794921875,1.0,0.0,1.321467399597168,3.0,-3.0,0.0,0.0,0.0,1.971029281616211,5.902645111083984,-3.0182878971099854,7.718202188478074e-10,0.9106783866882324,3.0491535663604736,-2.9818930625915527,7.718202188478074e-10,3.0491535663604736,-2.9818930625915527,154.4521484375,1024.0,18.0,0.0087890625,771.486328125,2048.0,416.0,0.005859375,61.309652011987055,21.310046756989323,1.7152255419932771,82.24622071097838,166.72655214101542,0.0009045012091792834,0.04337144256670459,0.011237567647788362,0.19382283655051896,,
9,,,,,462131,479731,17600,471570,471570,471570.0,0.053287237882614136,0.001,0.037109375,0.962890625,0.3704647314734757,0.015965396305546165,0.002332159187972138,-0.00070128534460423,53.52334117889404,0.41095480677036506,1e-06,2.1501364707946777,4.0,-3.0,0.80224609375,1.0,0.0,1.3478904962539673,3.0,-3.0,0.0,0.0,0.0,2.151022434234619,4.081785678863525,-3.0251357555389404,3.55222717907111e-09,0.9341630935668945,3.0560944080352783,-3.2333476543426514,3.55222717907111e-09,3.0560944080352783,-3.2333476543426514,151.015625,1024.0,25.0,0.00537109375,770.01953125,2048.0,407.0,0.0078125,68.1077834040043,21.649848758999724,1.453906757000368,79.81005590801942,171.10651719101588,0.0007707799250378354,0.042310821250301875,0.011477537141357446,0.2202139918649906,,
