infra,model_size,method,seed,checkpoint_step,v4_complete,v3_live,v3_non_live,v4_live,v4_live_format,v4_non_live,v4_non_live_format,v4_multi_turn,v4_multi_turn_format,v4_average,v4_average_format,v3_live_simple,v3_live_multiple,v3_live_parallel,v3_live_parallel_multiple,v3_non_live_simple,v3_non_live_multiple,v3_non_live_parallel,v3_non_live_parallel_multiple,source_model_id,run_id
haotian,1.5B,base,,0,True,10.584752035529238,15.145833333333334,9.32642487046632,0.3700962250185048,12.062500000000002,0.125,0.375,0.2075892857142857,7.254641623488774,0.23422850357759684,6.589147286821706,10.921177587844255,25.0,29.166666666666668,0.5833333333333334,12.0,14.0,34.0,base-1p5b,1.5b-base-s
haotian,1.5B,grpo,0,100,True,64.84085862324204,77.89583333333333,64.76683937823834,99.85196150999259,77.66666666666666,100.0,1.875,56.41778544613146,48.10283534830167,85.42324898537468,73.64341085271317,63.15289648622982,50.0,54.166666666666664,70.58333333333333,86.0,82.0,73.0,haotian-grpo-s0,1.5b-grpo-s0
haotian,1.5B,grpo,1,100,True,65.95114729829756,78.64583333333333,65.65507031828275,99.9259807549963,77.77083333333333,100.0,2.625,48.03038862857155,48.6836345505387,82.65212312785594,74.4186046511628,64.19753086419753,50.0,62.5,71.08333333333333,86.5,83.0,74.0,haotian-grpo-s1,1.5b-grpo-s1
haotian,1.5B,grpo,2,100,True,63.95262768319763,78.58333333333333,64.24870466321244,99.85196150999259,77.27083333333333,100.0,2.75,19.23968139273711,48.08984599884859,73.03054763424323,73.64341085271317,61.82336182336182,50.0,62.5,70.83333333333333,85.0,83.5,75.0,haotian-grpo-s2,1.5b-grpo-s2
haotian,1.5B,grpo,4,100,True,64.54478164322724,78.66666666666667,64.39674315321984,99.9259807549963,78.04166666666667,99.8125,3.125,55.5618829541249,48.521136606628836,85.10012123637374,73.25581395348837,62.7730294396961,50.0,58.333333333333336,72.66666666666667,86.0,83.0,73.0,haotian-grpo-s4,1.5b-grpo-s4
haotian,1.5B,grpo,5,100,True,65.58105107327906,78.60416666666667,64.91487786824575,99.85196150999259,79.45833333333333,99.75,2.375,36.96755646478557,48.91607040052636,78.85650599159271,75.5813953488372,63.4377967711301,50.0,62.5,70.91666666666667,87.0,83.0,73.5,haotian-grpo-s5,1.5b-grpo-s5
haotian,1.5B,gdpo,0,100,True,69.3560325684678,79.58333333333333,68.76387860843819,99.85196150999259,79.54166666666667,99.875,4.25,92.1792132518849,50.85184842503495,97.30205825395916,75.1937984496124,68.4710351377018,50.0,58.333333333333336,71.33333333333333,88.5,83.0,75.5,haotian-gdpo-s0,1.5b-gdpo-s0
haotian,1.5B,gdpo,1,100,True,68.24574389341228,81.20833333333333,68.5418208734271,100.0,80.79166666666666,100.0,5.0,87.59797273411303,51.444495846697926,95.86599091137101,75.5813953488372,66.95156695156695,43.75,62.5,71.33333333333333,89.5,85.5,78.5,haotian-gdpo-s1,1.5b-gdpo-s1
haotian,1.5B,gdpo,2,100,True,63.73056994818653,79.35416666666667,64.17468541820874,99.9259807549963,78.5625,100.0,5.125,88.91132322233697,49.28739513940291,96.27910132577776,66.27906976744185,63.15289648622982,56.25,66.66666666666667,69.91666666666667,88.0,81.5,78.0,haotian-gdpo-s2,1.5b-gdpo-s2
haotian,1.5B,gdpo,4,100,True,68.9119170984456,81.64583333333333,69.059955588453,99.9259807549963,80.83333333333333,100.0,3.7500000000000004,93.93026386146302,51.21442964059544,97.95208153881977,74.8062015503876,67.80626780626781,50.0,66.66666666666667,72.58333333333333,89.5,84.0,80.5,haotian-gdpo-s4,1.5b-gdpo-s4
haotian,1.5B,gdpo,5,100,True,64.32272390821613,75.89583333333333,64.69282013323465,100.0,76.79166666666667,100.0,5.625,94.38228881289487,49.036495599967104,98.12742960429829,67.82945736434108,63.81766381766382,50.0,58.333333333333336,64.58333333333333,86.5,78.0,74.5,haotian-gdpo-s5,1.5b-gdpo-s5
haotian,1.5B,dara,0,100,True,68.8378978534419,79.20833333333333,68.46780162842339,100.0,79.35416666666666,100.0,4.0,93.20658465901963,50.60732276503002,97.73552821967321,76.35658914728683,67.33143399810066,50.0,66.66666666666667,72.33333333333333,88.5,82.0,74.0,haotian-rdgdpo-symmetric-s0,1.5b-dara-s0
haotian,1.5B,dara,1,100,True,68.9119170984456,81.10416666666667,68.8378978534419,99.7039230199852,80.95833333333333,100.0,4.75,93.493421414651,51.51541039559174,97.73244814487873,75.96899224806202,67.61633428300095,50.0,62.5,70.41666666666667,89.0,84.0,81.0,haotian-rdgdpo-symmetric-s1,1.5b-dara-s1
haotian,1.5B,dara,2,100,True,69.5040710584752,80.79166666666667,69.43005181347151,99.9259807549963,81.14583333333334,99.875,5.875,89.4520327852649,52.15029504893495,96.41767118008707,75.1937984496124,68.4710351377018,50.0,66.66666666666667,72.16666666666667,88.0,84.0,79.0,haotian-rdgdpo-symmetric-s2,1.5b-dara-s2
haotian,1.5B,dara,4,100,True,69.80014803849001,81.27083333333333,69.2079940784604,99.9259807549963,80.02083333333333,100.0,5.0,94.10247718925613,51.40960913726458,98.00948598141747,76.74418604651163,68.4710351377018,50.0,66.66666666666667,71.58333333333333,90.0,85.0,78.5,haotian-rdgdpo-symmetric-s4,1.5b-dara-s4
haotian,1.5B,dara,5,100,True,66.76535899333827,78.91666666666667,66.17320503330866,100.0,79.75,100.0,4.625,93.60062722221143,50.182735011102885,97.86687574073714,70.93023255813954,66.19183285849952,50.0,58.333333333333336,70.66666666666667,87.5,81.5,76.0,haotian-rdgdpo-symmetric-s5,1.5b-dara-s5
