step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,gdpo/pi_correctness,gdpo/w_correctness,gdpo/active_groups_correctness,gdpo/pi_format,gdpo/w_format,gdpo/active_groups_format,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/adv,timing_per_token_ms/ref,timing_per_token_ms/gen,timing_per_token_ms/update_actor,timing_s/testing,timing_s/save_checkpoint
0,-2.51875,0.025,-2.54375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,440914,484460,43546,455025,455026,455025.5,-0.00021626919624395669,0.001,0.16015625,1.0,82.0,0.0078125,1.0,4.0,0.5900691786120015,0.005068625954370345,0.0,0.0,40.30144906044006,0.36011646751475945,1e-06,-2.448647975921631,3.0,-3.0,0.001953125,1.0,0.0,-2.450601100921631,3.0,-3.0,0.0,0.0,0.0,-2.4487624168395996,3.0004899501800537,-3.8432912826538086,9.896174990586815e-10,1.0000001192092896,8.717142105102539,-4.312722682952881,9.896174990586815e-10,8.717142105102539,-4.312722682952881,120.4599609375,1024.0,1.0,0.00537109375,768.26171875,2048.0,418.0,0.0078125,43.90051711299748,11.66413232999912,1.278055000002496,45.69697352199728,102.64734367499477,0.0007021886685485187,0.006408504759622878,0.17794957930214378,0.025106820124365162,,
2,,,,,439534,472680,33146,458157,458158,458157.75,-0.0012602887582033873,0.001,0.162109375,1.0,83.0,0.03515625,1.0,18.0,0.5408681919177373,-0.07531294370613371,0.0027901795188275476,1.170529103546869e-05,131.43109583854675,0.3935958069522445,1e-06,-2.4732794761657715,4.0,-3.0,0.0107421875,1.0,0.0,-2.4840216636657715,3.0,-3.0,0.0,0.0,0.0,-2.471846580505371,4.000669479370117,-3.002415895462036,2.3740311938524883e-09,0.9999998211860657,8.123852729797363,-3.984179735183716,2.3740311938524883e-09,8.123852729797363,-3.984179735183716,125.53466796875,1024.0,1.0,0.0048828125,769.3046875,2048.0,399.0,0.0078125,48.997644303002744,11.677901497001585,1.2529331210025703,42.17010800700518,104.20860150599765,0.0006836799775855424,0.006372205586941171,0.190581863914128,0.02301069228175513,,
3,,,,,431031,473271,42240,452355,452356,452355.75,0.0050148628652095795,0.001,0.259765625,1.0,133.0,0.03515625,1.0,18.0,0.5664039273415843,0.03330173633331733,0.0053737659472972155,0.0012308466632549103,7.09343296289444,0.38711294173702365,1e-06,-2.183256149291992,4.0,-3.0,0.009765625,1.0,0.0,-2.193021774291992,3.0,-3.0,0.0,0.0,0.0,-2.182157516479492,4.000263690948486,-3.0028369426727295,0.0,0.9999998807907104,6.146531105041504,-3.05765700340271,0.0,6.146531105041504,-3.05765700340271,115.76513671875,1024.0,1.0,0.005859375,767.7421875,2048.0,421.0,0.00390625,36.950540366000496,11.576248887002293,1.306598559996928,42.281903951996355,92.21618464899802,0.0007221078542700784,0.006397757123128364,0.15585224143879883,0.02336761716414368,,
4,,,,,442656,462576,19920,453019,453020,453019.75,0.04719292372465134,0.001,0.552734375,1.0,283.0,0.0234375,1.0,12.0,0.5352830002384801,0.014399460006144739,0.010735148526427726,0.0029520943517714077,62.64414656162262,0.3752256087549434,1e-06,-1.387441873550415,4.0,-3.0,0.00732421875,1.0,0.0,-1.394766092300415,3.0,-3.0,0.0,0.0,0.0,-1.386026382446289,3.9989686012268066,-3.0050594806671143,9.732582739729878e-09,1.0,4.865234375,-2.6004323959350586,9.732582739729878e-09,4.865234375,-2.6004323959350586,97.98779296875,1024.0,1.0,0.00439453125,786.81640625,2048.0,414.0,0.001953125,36.94193765100499,11.914487695998105,1.2663878509993083,43.684421432997624,93.91995530200074,0.0006988590734726843,0.006575037675508686,0.18408472062849124,0.02410734931148014,,
5,,,,,409880,462409,52529,432694,432694,432694.0,0.09484884142875671,0.001,0.75,1.0,384.0,0.044921875,1.0,23.0,0.4367422040166526,0.11123078875243664,0.015042602702782586,0.01018149429715965,7.681403636932373,0.3760673102564341,1e-06,-0.4087422788143158,4.0,-3.0,0.01220703125,1.0,0.0,-0.4209493100643158,3.0,-3.0,0.0,0.0,0.0,-0.40598171949386597,4.000268936157227,-3.0074877738952637,1.354350409599192e-09,0.9999999403953552,3.713740825653076,-2.492232322692871,1.354350409599192e-09,3.713740825653076,-2.492232322692871,88.01953125,1024.0,1.0,0.00244140625,757.0859375,2048.0,422.0,0.001953125,34.502235484003904,11.036841998000455,1.254724365004222,41.563824753997324,88.45681824799976,0.0007249490199796057,0.006376817102848927,0.19139836841523492,0.024014560378695638,,
6,,,,,431394,444944,13550,436612,436613,436612.75,0.14032411575317383,0.001,0.693359375,1.0,355.0,0.044921875,1.0,23.0,0.3979456602565704,0.02512124759279334,0.002590818259294235,0.00021770103264697678,4.2954511642456055,0.37805872382396427,1e-06,0.3342479169368744,4.0,-3.0,0.0126953125,1.0,0.0,0.3215526044368744,3.0,-3.0,0.0,0.0,0.0,0.33299389481544495,4.000580310821533,-3.0121054649353027,2.276993882333045e-08,0.9999999403953552,3.935699462890625,-3.2107746601104736,2.276993882333045e-08,3.935699462890625,-3.2107746601104736,89.00146484375,1024.0,1.0,0.00146484375,763.7578125,2047.0,393.0,0.0,35.30084440299834,11.185592169997108,1.3276000729965745,41.75441999400209,89.67048700000305,0.0007601702383843431,0.006404755799044524,0.19366805323274358,0.023908154304931598,,
7,,,,,415763,452236,36473,437544,437545,437544.5,0.13974620401859283,0.001,0.630859375,1.0,323.0,0.0390625,1.0,20.0,0.35387115231875715,-0.06437608087435365,0.002220180879170396,0.00025989604583973513,99.6745138168335,0.38231172341212094,1e-06,0.781862199306488,4.0,-3.0,0.0126953125,1.0,0.0,0.769166886806488,3.0,-3.0,0.0,0.0,0.0,0.7836440801620483,6.082871913909912,-3.0118587017059326,0.0,1.0000001192092896,3.9500412940979004,-2.5742287635803223,0.0,3.9500412940979004,-2.5742287635803223,92.4267578125,1024.0,1.0,0.00390625,762.15234375,2048.0,389.0,0.009765625,35.46932106099848,11.2605457690006,1.3195344249979826,41.42567927700293,89.57908844199846,0.000753942984655265,0.006433943158353379,0.18738084981244907,0.023669409212664614,,
8,,,,,421678,458225,36547,443290,443291,443290.75,0.11188849061727524,0.001,0.57421875,1.0,294.0,0.041015625,1.0,21.0,0.3888770758078016,0.02362655739075151,0.0027200946451871304,0.0035561704013663733,31.72422367334366,0.37234160877135036,1e-06,1.039553165435791,4.0,-3.0,0.01025390625,1.0,0.0,1.029299259185791,3.0,-3.0,0.0,0.0,0.0,1.0428614616394043,7.5572638511657715,-3.0129332542419434,2.49666087803746e-09,1.0,3.10245680809021,-2.6150083541870117,2.49666087803746e-09,3.10245680809021,-2.6150083541870117,83.55810546875,1024.0,1.0,0.0029296875,782.244140625,2048.0,389.0,0.013671875,45.66793958899507,11.347648825998476,1.410926352997194,43.11736204599583,101.68066518200067,0.0007957115916569396,0.006399664794493499,0.26686577564612873,0.024316637582667715,,
9,,,,,412804,448828,36024,432903,432903,432903.0,0.10194713622331619,0.001,0.5625,1.0,288.0,0.04296875,1.0,22.0,0.2705184117491756,-0.07046385588390487,0.001321332175783547,-0.00013085549679609748,72.75165295600891,0.37810930079878696,1e-06,1.09409761428833,4.0,-3.0,0.0146484375,1.0,0.0,1.07944917678833,3.0,-3.0,0.0,0.0,0.0,1.097598671913147,10.404115676879883,-3.015934467315674,5.843118877635334e-09,1.000000238418579,4.158352375030518,-3.2467780113220215,5.843118877635334e-09,4.158352375030518,-3.2467780113220215,86.70703125,1024.0,1.0,0.00390625,758.806640625,2048.0,414.0,0.005859375,38.194786879001185,11.559108205001394,1.3273017979954602,41.360547216005216,92.5582176579992,0.0007665122429247777,0.006675345403590062,0.2150898031209239,0.023885574375786964,,
