step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,grpo/pi_correctness,grpo/w_correctness,grpo/active_groups_correctness,grpo/pi_format,grpo/w_format,grpo/active_groups_format,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/gen,timing_per_token_ms/adv,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_s/testing,timing_s/save_checkpoint
11,,,,,423622,430401,6779,427169,427170,427169.75,0.07135944068431854,0.001,0.677734375,1.0,347.0,0.056640625,1.0,29.0,0.5121881078396525,-0.0891815904428118,0.01377197089771341,-0.006073026856029173,79.87503981590271,0.3677080862442072,1e-06,-0.04344503954052925,4.0,-3.0,0.015625,1.0,0.0,-0.05907003581523895,3.0,-3.0,0.0,0.0,0.0,-0.04215230047702789,3.9985239505767822,-3.0098178386688232,0.01674293354153633,0.7521900534629822,1.4999996423721313,-1.4999996423721313,0.01674293354153633,1.4999996423721313,-1.4999996423721313,90.95263671875,1024.0,1.0,0.00341796875,743.36328125,2048.0,399.0,0.0078125,34.84452536900062,10.80791849399975,1.6678943900005834,41.952049150000676,89.38891937599692,0.18706360823209528,0.0009761309116578266,0.006325306563725399,0.024552329109212834,,
12,,,,,419024,464595,45571,444489,444489,444489.0,0.10594930499792099,0.001,0.662109375,1.0,339.0,0.052734375,1.0,27.0,0.5739516427119573,0.012452623496452967,0.009377938435257723,0.006632835351986917,129.07318037748337,0.3731175246100595,1e-06,0.5301544070243835,4.0,-3.0,0.01708984375,1.0,0.0,0.5130645632743835,3.0,-3.0,0.0,0.0,0.0,0.5262030363082886,3.998276710510254,-4.408060073852539,-0.0701039582490921,0.746407151222229,1.4999995231628418,-1.4999996423721313,-0.0701039582490921,1.4999995231628418,-1.4999996423721313,96.4296875,1024.0,1.0,0.00634765625,771.712890625,2048.0,393.0,0.001953125,39.684714818999055,11.205590117999236,1.7200111729980563,43.11174210199897,95.82204098399961,0.2009474743731217,0.0009674093020288783,0.006302512614484968,0.024247924077985605,,
13,,,,,431668,470937,39269,445808,445809,445808.75,0.12184903025627136,0.001,0.625,1.0,320.0,0.029296875,1.0,15.0,0.39435918629169464,0.020168650566182774,0.001210320429828275,-6.506545474653179e-05,173.3517261147499,0.3729512456614816,1e-06,0.6406289935112,4.0,-3.0,0.00927734375,1.0,0.0,0.6313516497612,3.0,-3.0,0.0,0.0,0.0,0.6369856595993042,4.000472068786621,-3.010866165161133,0.017748704180121422,0.7400970458984375,1.4999995231628418,-1.4999996423721313,0.017748704180121422,1.4999995231628418,-1.4999996423721313,89.01904296875,1024.0,1.0,0.00390625,781.701171875,2048.0,399.0,0.001953125,36.07291805500063,11.765372082001704,1.8699476590008999,43.27200012100002,93.08688238400282,0.19786473693304643,0.0010486266022150192,0.006597768707995135,0.024266010997428842,,
14,,,,,425756,476275,50519,446352,446353,446352.75,0.11099885404109955,0.001,0.58984375,1.0,302.0,0.03125,1.0,16.0,0.3620991364121437,0.016182858248551688,0.0018428132539459814,0.00026127879924994584,43.02905797958374,0.38020029242913306,1e-06,0.8129214644432068,4.0,-3.0,0.0087890625,1.0,0.0,0.8041324019432068,3.0,-3.0,0.0,0.0,0.0,0.8098211288452148,3.996647834777832,-3.0134623050689697,0.013581180945038795,0.7347517609596252,1.4999996423721313,-1.4999996423721313,0.013581180945038795,1.4999996423721313,-1.4999996423721313,90.00341796875,1024.0,1.0,0.001953125,781.779296875,2048.0,389.0,0.0078125,36.45344310099972,12.626467770998715,1.4034941969985084,42.48454307499924,93.08349154200187,0.19776507565901752,0.0007860902598889043,0.007072023064156497,0.023795385530278036,,
15,,,,,423325,451773,28448,434994,434995,434994.25,0.10982701182365417,0.001,0.560546875,1.0,287.0,0.03125,1.0,16.0,0.43155932958636967,0.010950364022781807,0.001369387497626511,0.012679562927644383,63.52329349517822,0.3767342312284322,1e-06,0.8629416227340698,4.0,-3.0,0.01318359375,1.0,0.0,0.8497580289840698,3.0,-3.0,0.0,0.0,0.0,0.8575431108474731,3.9960789680480957,-3.111299991607666,-0.027184350416064262,0.7322385311126709,1.4999996423721313,-1.4999996423721313,-0.027184350416064262,1.4999996423721313,-1.4999996423721313,90.74462890625,1024.0,1.0,0.0048828125,758.853515625,2048.0,418.0,0.001953125,37.76907758800007,10.999321048999263,1.502183425000112,41.721708183999,92.10051831999954,0.20322891435335938,0.0008633352193736538,0.006321532439221475,0.023978310163869407,,
16,,,,,420831,453471,32640,435394,435394,435394.0,0.10747957974672318,0.001,0.583984375,1.0,299.0,0.033203125,1.0,17.0,0.34364924728870394,0.023380133509635925,0.0013063582533504813,6.660802452339946e-05,69.17479646205902,0.3818587282974688,1e-06,1.0587944984436035,4.0,-3.0,0.0087890625,1.0,0.0,1.0500054359436035,3.0,-3.0,0.0,0.0,0.0,1.0574913024902344,3.9960780143737793,-4.406940937042236,-0.003064939519390464,0.7147548198699951,1.4999996423721313,-1.4999996423721313,-0.003064939519390464,1.4999996423721313,-1.4999996423721313,90.982421875,1024.0,1.0,0.00341796875,759.396484375,1847.0,389.0,0.0,34.53362088799986,11.338706464001007,1.6354884360007418,41.209714176999114,88.82360432099813,0.18533381752999947,0.0009390853089389965,0.006510601009660793,0.023662311709049224,,
17,,,,,407260,432583,25323,424551,424552,424551.5,0.11217187345027924,0.001,0.55078125,1.0,282.0,0.041015625,1.0,21.0,0.4050559752753803,-0.02184555127418467,0.002088189183268696,-0.0004870932474919495,92.68170267343521,0.3757174792503636,1e-06,1.2638022899627686,4.0,-3.0,0.013671875,1.0,0.0,1.2501304149627686,3.0,-3.0,0.0,0.0,0.0,1.2608572244644165,3.9966390132904053,-3.012094020843506,-0.028365734964609146,0.7061474323272705,1.4999995231628418,-1.4999996423721313,-0.028365734964609146,1.4999995231628418,-1.4999996423721313,80.9599609375,1024.0,1.0,0.00341796875,748.2421875,2048.0,407.0,0.001953125,34.22064649100139,10.903914382997755,1.4468113980001363,40.79692994200013,87.49652182999853,0.20638967522889032,0.0008519646014677467,0.006420843162135662,0.024023545990298076,,
18,,,,,431970,450384,18414,440412,440413,440412.25,0.10417997092008591,0.001,0.52734375,1.0,270.0,0.046875,1.0,24.0,0.35274458195893993,0.04831936076422402,0.0010333610435707434,0.0002647949109931717,47.92997246980667,0.37692034666037205,1e-06,1.0903031826019287,4.0,-3.0,0.01513671875,1.0,0.0,1.0751665830612183,3.0,-3.0,0.0,0.0,0.0,1.0851091146469116,4.0019659996032715,-3.0148396492004395,-0.016215730458498,0.672004759311676,1.4999995231628418,-1.4999995231628418,-0.016215730458498,1.4999995231628418,-1.4999995231628418,89.04931640625,1024.0,1.0,0.00439453125,771.130859375,2048.0,407.0,0.0078125,37.6919631660021,11.254002474001027,1.4174307960020087,42.26755596000294,92.76155735199791,0.2066751282591288,0.0008046045472179809,0.006388334153966555,0.023993176824669917,,
19,,,,,406880,440962,34082,430397,430398,430397.25,0.10207508504390717,0.001,0.466796875,1.0,239.0,0.0234375,1.0,12.0,0.3052340200791756,-0.012278246592419844,0.0013888733907757949,5.877591611351818e-05,29.173409283161163,0.3742305022671821,1e-06,1.2577265501022339,4.0,-3.0,0.0078125,1.0,0.0,1.2499140501022339,3.0,-3.0,0.0,0.0,0.0,1.2532676458358765,3.9998717308044434,-3.0192198753356934,0.017986120656132698,0.6585406064987183,1.4999994039535522,-1.4999995231628418,0.017986120656132698,1.4999994039535522,-1.4999995231628418,81.57666015625,1024.0,1.0,0.001953125,759.04296875,2048.0,393.0,0.005859375,33.99598116299967,10.910134323999955,1.3953525779979827,41.57688978599981,87.98053013400204,0.20348467497261413,0.0008105027262592772,0.006337246766795069,0.02415029939550021,,
20,1.4918691720813513,0.0375,1.4543691720813512,0.0,427466,452838,25372,442259,442260,442259.75,0.0995318740606308,0.001,0.509765625,1.0,261.0,0.046875,1.0,24.0,0.397162526845932,-0.057404242305746,0.0014129100055734237,0.01029469047382243,71.23325157165527,0.3840860067087609,1e-06,1.1411210298538208,4.0,-3.0,0.01513671875,1.0,0.0,1.1259843111038208,3.0,-3.0,0.0,0.0,0.0,1.1385020017623901,3.9992752075195312,-3.0120456218719482,0.018049901351332664,0.7011069655418396,1.4999994039535522,-1.4999996423721313,0.018049901351332664,1.4999994039535522,-1.4999996423721313,91.75341796875,1024.0,1.0,0.0029296875,772.03515625,2048.0,427.0,0.00390625,41.775880254001095,11.290078622998408,1.7781263520009816,41.67773022899928,132.4003186810005,0.22231737500200144,0.001005136886185653,0.006382040544611175,0.0235595316038817,21.259739487999468,14.49627815400163
21,,,,,444906,465485,20579,454912,454913,454912.5,0.09595885872840881,0.001,0.443359375,1.0,227.0,0.044921875,1.0,23.0,0.3770675113604915,-0.0644613160120864,0.013280197441007101,-0.015255722257983682,59.146825432777405,0.3842992242299727,1e-06,1.3764151334762573,4.0,-3.0,0.01708984375,1.0,0.0,1.3593252897262573,3.0,-3.0,0.0,0.0,0.0,1.3754613399505615,6.548983573913574,-3.022592306137085,0.004744253121316433,0.7188212275505066,1.4999992847442627,-1.4999996423721313,0.004744253121316433,1.4999992847442627,-1.4999996423721313,92.4697265625,1024.0,1.0,0.00537109375,796.03125,2048.0,399.0,0.009765625,36.40428763700038,11.905018580000615,1.4399951710001915,43.04733896200196,92.90365820400257,0.1922308168689097,0.0007913583222049249,0.006542477168686623,0.023656933455335892,,
22,,,,,430480,445131,14651,436823,436823,436823.0,0.08992432802915573,0.001,0.451171875,1.0,231.0,0.064453125,1.0,33.0,0.35330959525087785,-0.06449358871784704,0.0250555017053808,-0.039278275779436406,39.601617991924286,0.38101790992655044,1e-06,1.347379446029663,4.0,-3.0,0.02685546875,1.0,0.0,1.320523977279663,3.0,-3.0,0.0,0.0,0.0,1.344438076019287,4.000854969024658,-3.0275533199310303,0.02726491168141365,0.6738155484199524,1.4999995231628418,-1.4999996423721313,0.02726491168141365,1.4999995231628418,-1.4999996423721313,87.09765625,1024.0,1.0,0.001953125,766.072265625,1995.0,407.0,0.0,34.3792443789971,11.11244150299899,1.4979305800006841,41.48517187499965,88.58624903099917,0.19273469737519117,0.0008572869217055215,0.006359807921629007,0.02374255240394831,,
23,,,,,410728,440820,30092,427711,427712,427711.5,0.09881947934627533,0.001,0.47265625,1.0,242.0,0.064453125,1.0,33.0,0.42080408840307165,-0.04601135490728276,0.0012005843382212333,-1.4446769487871539e-05,69.99383527040482,0.36908781116824574,1e-06,1.2710137367248535,4.0,-3.0,0.021484375,1.0,0.0,1.2495293617248535,3.0,-3.0,0.0,0.0,0.0,1.2658811807632446,3.99977707862854,-3.0132884979248047,0.003034086897969246,0.6522420644760132,1.4999995231628418,-1.4999995231628418,0.003034086897969246,1.4999995231628418,-1.4999995231628418,82.3564453125,1024.0,1.0,0.001953125,753.017578125,2048.0,418.0,0.00390625,38.83548387099654,10.814211583998258,1.4338661029978539,41.84653638600139,93.03350858900012,0.23025081445576787,0.0008381035481848476,0.006320973123237426,0.0244595576609475,,
24,,,,,433773,451071,17298,439572,439573,439572.25,0.09530718624591827,0.001,0.451171875,1.0,231.0,0.05859375,1.0,30.0,0.37268233710321885,-0.019895217285074037,0.0016270069754682481,-0.0005428891750413861,25.840008020401,0.3794485955259989,1e-06,1.3738783597946167,4.0,-3.0,0.02294921875,1.0,0.0,1.3509291410446167,3.0,-3.0,0.0,0.0,0.0,1.3681491613388062,4.0006422996521,-4.024565696716309,0.001912528881803155,0.6059065461158752,1.4999995231628418,-1.4999995231628418,0.001912528881803155,1.4999995231628418,-1.4999995231628418,82.24462890625,1024.0,1.0,0.00244140625,776.294921875,2048.0,399.0,0.00390625,40.8715730699987,11.99645300499833,1.3877053079995676,41.90985149900007,96.28175311900122,0.24265198899290955,0.0007892361881349241,0.0068227993265033956,0.023835587607611758,,
25,,,,,431771,453051,21280,442934,442935,442934.5,0.10180561244487762,0.001,0.404296875,1.0,207.0,0.072265625,1.0,37.0,0.31494383166233697,-0.06056144780789812,0.0011774743907153606,0.00020460680049533647,48.19612413644791,0.38159453495596524,1e-06,1.4280210733413696,4.0,-3.0,0.02685546875,1.0,0.0,1.4011656045913696,3.0,-3.0,0.0,0.0,0.0,1.421354055404663,3.998723030090332,-5.327960968017578,-0.016237331554293633,0.6777938604354858,1.4999990463256836,-1.4999996423721313,-0.016237331554293633,1.4999990463256836,-1.4999996423721313,87.2958984375,1024.0,1.0,0.00244140625,777.810546875,2048.0,407.0,0.001953125,38.37739691200113,11.341972579997673,1.4381185849997564,42.00228586400044,93.24448580399985,0.2146602952870039,0.0008116993511454608,0.006401608240043208,0.02370682677912899,,
26,,,,,412087,449124,37037,426805,426806,426805.5,0.09565694630146027,0.001,0.3984375,1.0,204.0,0.11328125,1.0,58.0,0.4180381005363805,0.018543214537203312,0.011258028264689659,0.007778100682246857,23.598909318447113,0.37795083926742973,1e-06,1.4619731903076172,4.0,-3.0,0.0390625,1.0,0.0,1.4229106903076172,3.0,-3.0,0.0,0.0,0.0,1.4570269584655762,4.0001702308654785,-3.016758441925049,-0.017803044989705086,0.6838287711143494,1.4999994039535522,-1.4999996423721313,-0.017803044989705086,1.4999994039535522,-1.4999996423721313,89.9287109375,1024.0,1.0,0.00537109375,743.67578125,2048.0,416.0,0.00390625,47.41979553300189,10.908352058999299,1.397859274999064,40.80681644699871,100.64514119299929,0.2574728003572811,0.0008187917417881587,0.006389533440290307,0.02390246637344101,,
27,,,,,434751,460729,25978,449497,449498,449497.25,0.08036497980356216,0.001,0.408203125,1.0,209.0,0.103515625,1.0,53.0,0.37186918954054515,0.03955842579404513,0.0015878786197087416,0.0005239158348710286,16.481506049633026,0.37636281676725425,1e-06,1.300745964050293,4.0,-3.0,0.05126953125,1.0,0.0,1.2494765520095825,3.0,-3.0,0.0,0.0,0.0,1.2982780933380127,4.628241539001465,-3.013303518295288,-0.008951005525887012,0.6871055364608765,1.4999992847442627,-1.4999996423721313,-0.008951005525887012,1.4999992847442627,-1.4999996423721313,90.22705078125,1024.0,1.0,0.001953125,787.697265625,2048.0,393.0,0.009765625,36.34485033300007,11.280284205000498,1.634715705000417,43.298089661999256,92.69813098699888,0.19668723290851567,0.0009091911602353613,0.0062738338249013195,0.024081398530246434,,
28,,,,,417687,430983,13296,424057,424058,424057.5,0.08378101140260696,0.001,0.4453125,1.0,228.0,0.1875,1.0,96.0,0.3440207195069109,-0.05028121080249548,0.011928502773766272,-0.008109410002102127,10.621981859207153,0.37083027503591975,1e-06,1.449242353439331,4.0,-3.0,0.08740234375,1.0,0.0,1.361840009689331,3.0,-3.0,0.0,0.0,0.0,1.4454618692398071,3.9999208450317383,-3.0135061740875244,0.0331687293946743,0.6640523672103882,1.4999994039535522,-1.4999996423721313,0.0331687293946743,1.4999994039535522,-1.4999996423721313,81.8310546875,1024.0,1.0,0.0009765625,746.40625,2048.0,399.0,0.0078125,32.37537831000009,11.484815824998805,1.788703843998519,41.29065087300114,87.06315922800059,0.19318204135091643,0.001054517278905879,0.006770789235539287,0.024342601459118835,,
29,,,,,418935,445709,26774,428823,428824,428823.25,0.07612646371126175,0.001,0.412109375,1.0,211.0,0.341796875,1.0,175.0,0.28434111820212726,0.061245505368850865,0.00220385906166108,0.0004059002445689563,2.9856135845184326,0.3840051513143049,1e-06,1.5342875719070435,4.0,-3.0,0.16357421875,1.0,0.0,1.3707133531570435,3.0,-3.0,0.0,0.0,0.0,1.5298054218292236,3.998697519302368,-3.012352228164673,-0.005428615491837263,0.6850543022155762,1.4999994039535522,-1.4999996423721313,-0.005428615491837263,1.4999994039535522,-1.4999996423721313,88.75244140625,1024.0,1.0,0.00048828125,748.79296875,2047.0,389.0,0.0,37.35020519600221,11.261133918997075,1.4060188139992533,40.3333568679991,90.46254032900106,0.20548623330125276,0.0008196960017905124,0.006565137220869598,0.023513975086471583,,
30,1.6526727460324764,0.1625,1.4901727439835668,0.0,434233,437181,2948,436303,436303,436303.0,0.07865909487009048,0.001,0.421875,1.0,216.0,0.35546875,1.0,182.0,0.37108589495931354,-0.03145564151262598,0.0010541950635212874,6.062253006738112e-05,62.86957931518555,0.37931219367573976,1e-06,1.6137412786483765,4.0,-3.0,0.1943359375,1.0,0.0,1.419405460357666,3.0,-3.0,0.0,0.0,0.0,1.6098718643188477,3.998546600341797,-3.0133402347564697,0.045127905905246735,0.683431088924408,1.4999994039535522,-1.4999996423721313,0.045127905905246735,1.4999994039535522,-1.4999996423721313,90.88671875,1024.0,1.0,0.00341796875,761.267578125,2048.0,407.0,0.00390625,34.438838037000096,11.166422089998377,1.695975863996864,41.58325364999837,109.46342907899816,0.18501975994434228,0.0009717878767719131,0.006398318422058969,0.023827050037473024,7.430580090000149,13.068427127000177
