step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,grpo/pi_correctness,grpo/w_correctness,grpo/active_groups_correctness,grpo/pi_format,grpo/w_format,grpo/active_groups_format,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/adv,timing_per_token_ms/update_actor,timing_per_token_ms/ref,timing_per_token_ms/gen,timing_s/testing,timing_s/save_checkpoint
0,-2.51875,0.025,-2.54375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,444328,459850,15522,452100,452101,452100.25,2.1220272174105048e-05,0.001,0.146484375,1.0,75.0,0.0234375,1.0,12.0,0.6839602710679173,0.056543776037869975,0.0,0.0,42.97674810886383,0.3465556736973363,1e-06,-2.462324619293213,4.0,-3.0,0.0068359375,1.0,0.0,-2.469160556793213,3.0,-3.0,0.0,0.0,0.0,-2.4620368480682373,3.9999961853027344,-3.0016226768493652,-0.0016792082460597157,0.8308780789375305,1.4999996423721313,-1.499981164932251,-0.0016792082460597157,1.4999996423721313,-1.499981164932251,117.90673828125,1024.0,1.0,0.00341796875,765.1015625,2048.0,420.0,0.00390625,39.27846722500544,12.005714316001104,1.5448068469995633,47.1646315639955,100.08684831400024,0.0008542391023891069,0.02608084797785198,0.006638856269157728,0.1626619424325098,,
2,,,,,442079,465187,23108,449130,449131,449130.5,-0.0006095208809711039,0.001,0.1484375,1.0,76.0,0.015625,1.0,8.0,0.5506965726613998,-0.0322643730265554,0.0023648104552800456,9.161581001535524e-05,108.95244061946869,0.3835045118271477,1e-06,-2.4093832969665527,4.0,-3.0,0.0048828125,1.0,0.0,-2.4142661094665527,3.0,-3.0,0.0,0.0,0.0,-2.408524751663208,4.00032901763916,-3.002441644668579,0.006525835487991571,0.8042103052139282,1.4999996423721313,-1.4999969005584717,0.006525835487991571,1.4999996423721313,-1.4999969005584717,118.5751953125,1024.0,1.0,0.00439453125,758.6328125,2048.0,389.0,0.001953125,48.12605146799615,11.957187184998475,1.291722319998371,42.35866544400051,103.82741447300214,0.0007190128036274373,0.023578150138991064,0.006655742142316362,0.19817845128929984,,
3,,,,,456553,473633,17080,464427,464428,464427.75,0.0018739535007625818,0.001,0.193359375,1.0,99.0,0.01171875,1.0,6.0,0.6397807830944657,-0.018166743277106434,0.018230706147733144,-0.011491536243511291,189.68585586547852,0.3827148314250422,1e-06,-2.330700397491455,4.0,-3.0,0.0029296875,1.0,0.0,-2.333630084991455,3.0,-3.0,0.0,0.0,0.0,-2.3313145637512207,4.000000476837158,-3.5684072971343994,0.008124187588691711,0.8173731565475464,1.4999996423721313,-1.4999988079071045,0.008124187588691711,1.4999996423721313,-1.4999988079071045,118.85302734375,1024.0,1.0,0.0048828125,788.232421875,2048.0,407.0,0.00390625,39.168053953995695,12.027166122999915,1.291628478000348,43.95159221100039,96.53700371499872,0.0006952795553239163,0.023659004124430758,0.006474185771091367,0.16091324530935616,,
4,,,,,449298,462014,12716,458512,458513,458512.75,0.004968618042767048,0.001,0.27734375,1.0,142.0,0.021484375,1.0,11.0,0.5605157231912017,-0.01974016590975225,0.0023254665175045375,-9.755967403179966e-05,67.67938476800919,0.37420468340385427,1e-06,-2.21456241607666,4.0,-3.0,0.00537109375,1.0,0.0,-2.21993350982666,3.0,-3.0,0.0,0.0,0.0,-2.2152810096740723,4.000011444091797,-4.35884952545166,-0.012345732189714909,0.785552978515625,1.4999996423721313,-1.4999995231628418,-0.012345732189714909,1.4999996423721313,-1.4999995231628418,114.03271484375,1024.0,1.0,0.0009765625,781.5,2048.0,399.0,0.009765625,36.607002901997475,11.983835941995494,1.3493478300006245,45.1247937549997,95.16799950399582,0.0007357199063715374,0.024603892560784678,0.006534079991230066,0.1567489922539596,,
5,,,,,451221,462556,11335,456466,456467,456466.5,0.006191890686750412,0.001,0.3046875,1.0,156.0,0.01953125,1.0,10.0,0.5867900617661015,-0.015966697280565576,0.009080523256993583,0.0040790009586470985,63.30978173017502,0.39100001410335056,1e-06,-2.180077075958252,4.0,-3.0,0.0048828125,1.0,0.0,-2.184959888458252,3.0,-3.0,0.0,0.0,0.0,-2.180424928665161,3.9999001026153564,-3.428131103515625,0.009619290940463543,0.8110044002532959,1.4999996423721313,-1.4999995231628418,0.009619290940463543,1.4999996423721313,-1.4999995231628418,113.4833984375,1024.0,1.0,0.0029296875,778.052734375,2048.0,393.0,0.005859375,46.88056599999982,11.555810653000663,1.3247225360028096,42.397028505998605,102.25729906700144,0.0007255310827863653,0.02322023002016501,0.006328947826949328,0.2017114545595352,,
6,,,,,437882,442719,4837,439547,439548,439547.75,0.00559594389051199,0.001,0.38671875,1.0,198.0,0.04296875,1.0,22.0,0.5098859462244757,-0.014410005464892963,0.003057734121504272,0.00457285780969963,92.50926065444946,0.3701143834055479,1e-06,-2.0462586879730225,4.0,-3.0,0.01171875,1.0,0.0,-2.0579774379730225,3.0,-3.0,0.0,0.0,0.0,-2.045809268951416,3.999990940093994,-4.060259819030762,-0.0019860996399074793,0.7895496487617493,1.4999996423721313,-1.4999996423721313,-0.0019860996399074793,1.4999996423721313,-1.4999996423721313,117.27685546875,1024.0,1.0,0.00439453125,741.21484375,2048.0,418.0,0.001953125,40.21845372000098,11.198802844002785,1.359643383002549,42.91749176900339,95.7965471399948,0.0007733194988499821,0.024410028130620275,0.006369502997116232,0.16744921047701536,,
7,,,,,435628,476873,41245,447632,447633,447632.25,0.004835724830627441,0.001,0.439453125,1.0,225.0,0.05859375,1.0,30.0,0.5044813415696544,-0.018803411403730992,0.0041291672405937025,0.00038001481007654547,70.65713620185852,0.37579230546207454,1e-06,-1.7876737117767334,4.0,-3.0,0.0166015625,1.0,0.0,-1.8042752742767334,3.0,-3.0,0.0,0.0,0.0,-1.7811182737350464,3.999303102493286,-3.0030364990234375,0.024493101984262466,0.79255610704422,1.4999996423721313,-1.4999996423721313,0.024493101984262466,1.4999996423721313,-1.4999996423721313,114.23486328125,1024.0,1.0,0.00537109375,760.046875,2048.0,413.0,0.0078125,41.66127982099715,20.43524259900005,1.3389838490038528,43.10585818799882,106.65104397200048,0.0007478146676227265,0.02407437030508795,0.011412963766015546,0.17807542464083448,,
8,,,,,426423,441588,15165,435096,435097,435096.25,0.043471045792102814,0.001,0.62890625,1.0,322.0,0.060546875,1.0,31.0,0.5239671119328203,-0.02991481682542583,0.004625659785233438,-0.011179498892982432,100.6068787574768,0.38033681821567716,1e-06,-1.240457534790039,4.0,-3.0,0.01611328125,1.0,0.0,-1.256570816040039,3.0,-3.0,0.0,0.0,0.0,-1.2409981489181519,3.9998600482940674,-3.40335750579834,-0.008267033845186234,0.748971164226532,1.4999996423721313,-1.4999996423721313,-0.008267033845186234,1.4999996423721313,-1.4999996423721313,95.39501953125,1024.0,1.0,0.00146484375,754.40234375,2048.0,389.0,0.001953125,34.95891084699542,10.98146821699629,1.3451725669947336,41.33228940400295,88.71874792699964,0.0007729166632640098,0.023748934519662573,0.006309792498209471,0.17893786039236226,,
9,,,,,417482,468415,50933,440105,440106,440105.25,0.06557212769985199,0.001,0.705078125,1.0,361.0,0.072265625,1.0,37.0,0.5138565555214882,0.0392601373915871,0.003820676535057525,0.00022345482187423235,196.61499643325806,0.3789794355978787,1e-06,-0.4937032461166382,4.0,-3.0,0.0185546875,1.0,0.0,-0.5122579336166382,3.0,-3.0,0.0,0.0,0.0,-0.4934566617012024,3.9993972778320312,-3.253525733947754,-0.0194117221981287,0.7769261002540588,1.4999996423721313,-1.4999996423721313,-0.0194117221981287,1.4999996423721313,-1.4999996423721313,94.98291015625,1024.0,1.0,0.00390625,764.59765625,2048.0,413.0,0.00390625,40.68379488600476,11.941714430999127,1.3974552620056784,42.00591432899819,96.13202295099472,0.0007938187865321297,0.023861289049038944,0.006783442387360255,0.20914429963246248,,
