run_id,model_size,method,seed,step,summary,live_accuracy,live_format,non_live_accuracy,non_live_format,multi_turn_accuracy,multi_turn_format,average_accuracy,average_format
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,80,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_gd2po_hard_s1_save10/step_80/summary.json,71.50259067357513,99.7039230199852,83.47916666666666,99.83333333333333,12.125,90.92150195174536,55.70225244674726,96.81958610168796
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,90,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_gd2po_hard_s1_save10/step_90/summary.json,70.54034048852702,100.0,83.83333333333334,100.0,8.0,92.87527155725677,54.12455794062012,97.62509051908559
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,100,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_gd2po_hard_s1_save10/step_100/summary.json,70.09622501850481,99.7779422649889,84.41666666666667,100.0,8.249999999999998,92.35984671664224,54.25429722839049,97.37926299387705
haotian_3b_dvao_s2_save10,3b,dvao,2,10,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_dvao_s2_save10/step_10/summary.json,65.80310880829016,98.00148038490008,75.4375,94.66666666666667,2.375,19.212113100686757,47.87186960276338,70.6267533840845
haotian_3b_dvao_s2_save10,3b,dvao,2,20,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_dvao_s2_save10/step_20/summary.json,66.69133974833457,98.59363434492968,80.35416666666667,99.72916666666667,4.125,43.031410697258615,50.390168805000414,80.45140390295165
haotian_3b_dvao_s2_save10,3b,dvao,2,30,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_dvao_s2_save10/step_30/summary.json,69.65210954848261,100.0,82.39583333333333,99.875,4.625,54.14143819541838,52.22431429393865,84.67214606513946
haotian_3b_dvao_s2_save10,3b,dvao,2,40,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_dvao_s2_save10/step_40/summary.json,69.35603256846781,99.9259807549963,81.5625,99.79166666666667,4.625,64.83301021914065,51.847844189489265,88.18355254693454
haotian_3b_dvao_s2_save10,3b,dvao,2,50,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_dvao_s2_save10/step_50/summary.json,71.79866765358993,100.0,81.47916666666667,100.0,6.999999999999999,79.28832219853757,53.42594477341886,93.09610739951252
haotian_3b_dvao_s2_save10,3b,dvao,2,60,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_dvao_s2_save10/step_60/summary.json,70.17024426350851,100.0,82.29166666666667,99.83333333333333,7.249999999999999,80.39620292611795,53.23730364339173,93.40984541981709
haotian_3b_dvao_s2_save10,3b,dvao,2,70,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_dvao_s2_save10/step_70/summary.json,70.61435973353072,100.0,83.10416666666667,99.75,7.000000000000001,86.1228619420778,53.57284213339912,95.2909539806926
haotian_3b_dvao_s2_save10,3b,dvao,2,80,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_dvao_s2_save10/step_80/summary.json,71.05847520355293,100.0,82.70833333333334,100.0,10.125,89.90256156340388,54.63060284562875,96.63418718780129
haotian_3b_dvao_s2_save10,3b,dvao,2,90,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_dvao_s2_save10/step_90/summary.json,70.91043671354552,100.0,81.85416666666667,100.0,8.875000000000002,89.81849846248365,53.87986779340407,96.60616615416122
haotian_3b_dvao_s2_save10,3b,dvao,2,100,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_dvao_s2_save10/step_100/summary.json,70.31828275351592,99.85196150999259,83.22916666666667,100.0,9.875,91.59036305819555,54.474149806727524,97.14744152272938
haotian_3b_gd2po_hard_s2_save10,3b,gd2po_hard,2,10,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_gd2po_hard_s2_save10/step_10/summary.json,65.06291635825315,94.22649888971134,77.72916666666667,95.0625,3.5000000000000004,21.891430127955232,48.76402767497327,70.39347633922219
haotian_3b_gd2po_hard_s2_save10,3b,gd2po_hard,2,20,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_gd2po_hard_s2_save10/step_20/summary.json,67.87564766839378,99.7039230199852,80.29166666666667,99.875,4.75,48.44973927350233,50.97243811168681,82.67622076449584
haotian_3b_gd2po_hard_s2_save10,3b,gd2po_hard,2,30,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_gd2po_hard_s2_save10/step_30/summary.json,67.72760917838639,100.0,81.625,99.875,7.249999999999999,62.73957434222316,52.20086972612879,87.53819144740773
haotian_3b_gd2po_hard_s2_save10,3b,gd2po_hard,2,40,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_gd2po_hard_s2_save10/step_40/summary.json,69.50407105847522,99.85196150999259,81.375,99.875,6.5,75.50804267787805,52.45969035282507,91.74500139595688
haotian_3b_gd2po_hard_s2_save10,3b,gd2po_hard,2,50,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_gd2po_hard_s2_save10/step_50/summary.json,68.17172464840858,99.85196150999259,81.47916666666667,99.875,8.875,82.6801980120278,52.841963771691745,94.13571984067347
haotian_3b_gd2po_hard_s2_save10,3b,gd2po_hard,2,60,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_gd2po_hard_s2_save10/step_60/summary.json,69.8741672834937,99.7779422649889,81.83333333333334,100.0,7.625,85.91882313167872,53.110833538942344,95.23225513222255
haotian_3b_gd2po_hard_s2_save10,3b,gd2po_hard,2,70,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_gd2po_hard_s2_save10/step_70/summary.json,69.80014803849001,99.6299037749815,81.52083333333333,100.0,7.75,85.12544129803892,53.023660457274445,94.91844835767347
haotian_3b_gd2po_hard_s2_save10,3b,gd2po_hard,2,80,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_gd2po_hard_s2_save10/step_80/summary.json,69.1339748334567,99.9259807549963,82.35416666666666,99.875,8.75,85.12782156225254,53.41271383337446,94.97626743908295
haotian_3b_gd2po_hard_s2_save10,3b,gd2po_hard,2,90,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_gd2po_hard_s2_save10/step_90/summary.json,68.09770540340489,99.85196150999259,81.91666666666667,99.66666666666667,7.875,85.30663796828107,52.629790690023846,94.94175538164677
haotian_3b_gd2po_hard_s2_save10,3b,gd2po_hard,2,100,/lambda/nfs/haotian/dara-3b-20260919/outputs/eval-v4-checkpoints/haotian_3b_gd2po_hard_s2_save10/step_100/summary.json,70.61435973353072,99.7039230199852,83.22916666666667,100.0,10.500000000000002,88.46815529819419,54.781175466732456,96.05735943939312
