step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,dara/pi_correctness,dara/w_correctness,dara/active_groups_correctness,dara/pi_format,dara/w_format,dara/active_groups_format,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_s/testing,timing_s/save_checkpoint
0,-2.503125,0.025,-2.528125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,445949,462097,16148,454090,454091,454090.5,-0.0011404961114749312,0.001,0.171875,1.0,88.0,0.025390625,2.6017745423519636,13.0,0.574616591776571,-0.003236639775305746,0.0,0.0,56.31381142139435,0.3481470052539723,1e-06,-2.43725323677063,4.0,-3.0,0.00634765625,1.0,0.0,-2.44360089302063,3.0,-3.0,0.0,0.0,0.0,-2.435758590698242,4.000223636627197,-3.002464532852173,-1.4636611034291036e-08,0.9999998211860657,10.051997184753418,-3.98380446434021,-1.4636611034291036e-08,10.051997184753418,-3.98380446434021,122.1689453125,1024.0,1.0,0.00341796875,764.7265625,2048.0,399.0,0.00390625,38.63872407799863,11.69530224600021,1.3089737890004471,47.152011867998226,98.91216954399715,0.0007206568894308773,0.15443011677763818,0.006438860891166084,0.025959589480510067,,
2,,,,,440916,462105,21189,453113,453114,453113.5,0.0002549545024521649,0.001,0.181640625,1.0,93.0,0.021484375,2.9076701075853593,11.0,0.5555322365835309,0.026741666020825505,0.0028313805487414356,-0.00017760890801810092,4.412153720855713,0.3743342373212874,1e-06,-2.455538034439087,4.0,-3.0,0.00634765625,1.0,0.0,-2.461885690689087,3.0,-3.0,0.0,0.0,0.0,-2.455361843109131,4.000141143798828,-3.0021283626556396,-4.873494496848707e-09,1.0000001192092896,10.388381004333496,-4.435399532318115,-4.873494496848707e-09,10.388381004333496,-4.435399532318115,122.3037109375,1024.0,1.0,0.0048828125,762.68359375,2048.0,393.0,0.001953125,45.97396509099781,11.915552880000178,1.2687999199988553,43.799678098002914,103.0552571219996,0.0007000453087354798,0.18354492247222434,0.006574264991001249,0.024165952955497307,,
3,,,,,437667,474330,36663,462935,462935,462935.0,0.005585049279034138,0.001,0.251953125,1.0,129.0,0.0234375,3.278719262151,12.0,0.6860631164163351,-0.000898241822142154,0.008530298591722385,0.0036682709837805305,4.620671033859253,0.37085615520636944,1e-06,-2.2411370277404785,4.0,-3.0,0.005859375,1.0,0.0,-2.2469964027404785,3.0,-3.0,0.0,0.0,0.0,-2.2401020526885986,3.999508857727051,-3.0027425289154053,2.1248836024057027e-09,0.9999998807907104,10.039602279663086,-3.8893585205078125,2.1248836024057027e-09,10.039602279663086,-3.8893585205078125,112.203125,1024.0,1.0,0.00390625,791.966796875,2048.0,418.0,0.001953125,38.526526563000516,11.999203515002591,1.2868837930000154,45.23369831599848,97.14528181900096,0.0006949592237571233,0.16765825861213843,0.00647996128776318,0.02442767252205951,,
4,,,,,419435,444957,25522,434552,434553,434552.5,0.03347795084118843,0.001,0.544921875,1.0,279.0,0.0234375,4.8218253804964775,12.0,0.5519018347921043,0.027495480046190065,0.0045525521152363765,0.00026151320335445453,28.438424348831177,0.3798539230748815,1e-06,-1.5222082138061523,4.0,-3.0,0.00634765625,1.0,0.0,-1.5285558700561523,3.0,-3.0,0.0,0.0,0.0,-1.5216126441955566,4.000886917114258,-3.0049073696136475,3.620080235577916e-09,1.0000001192092896,9.13441276550293,-4.374255657196045,3.620080235577916e-09,9.13441276550293,-4.374255657196045,98.7900390625,1024.0,1.0,0.0029296875,749.9453125,2048.0,422.0,0.0078125,47.63385727599962,10.991108195001289,1.2766626869997708,41.306430104003084,101.3116751230009,0.0007344697631470138,0.23543587586124898,0.006323233783605714,0.02376377428734335,,
5,,,,,444301,458494,14193,450667,450668,450667.75,0.0638054609298706,0.001,0.685546875,1.0,351.0,0.056640625,3.4790010456828075,29.0,0.5579509677425507,-0.02565285398234283,0.004195895357688348,0.0006486108318166507,56.495720624923706,0.38895113228343775,1e-06,-0.6899880170822144,4.0,-3.0,0.017578125,1.0,0.0,-0.7075661420822144,3.0,-3.0,0.0,0.0,0.0,-0.6917703747749329,4.000259876251221,-3.008943796157837,-2.8660520623446928e-09,1.0000001192092896,6.398802757263184,-4.988505840301514,-2.8660520623446928e-09,6.398802757263184,-4.988505840301514,103.98388671875,1024.0,1.0,0.00390625,776.2265625,2048.0,399.0,0.0078125,38.48717893399953,11.457734663999872,1.3650689850001072,41.945583344000624,93.35827516800055,0.0007572479864601511,0.18072576850003771,0.0063559765836361005,0.02326857387953799,,
6,,,,,420371,429155,8784,425801,425802,425801.5,0.08134035766124725,0.001,0.67578125,1.0,346.0,0.119140625,2.38162363683706,61.0,0.46421122088514527,-0.08895403255933318,0.002270699468650052,0.00018454929648151878,60.95389437675476,0.37176874820634037,1e-06,-0.10525926947593689,4.0,-3.0,0.03662109375,1.0,0.0,-0.1418803483247757,3.0,-3.0,0.0,0.0,0.0,-0.10990869998931885,3.999781847000122,-4.5593976974487305,-3.2328284493843285e-10,1.0,4.334487438201904,-3.075251579284668,-3.2328284493843285e-10,4.334487438201904,-3.075251579284668,92.1865234375,1024.0,1.0,0.00244140625,739.45703125,2048.0,389.0,0.005859375,34.60754376600016,11.695977662999212,1.3251633760010009,41.33784701799959,89.06747810700108,0.0007780405752451558,0.1833046100382428,0.00686703643775281,0.0242706090854539,,
7,,,,,433822,468364,34542,446486,446486,446486.0,0.0743589773774147,0.001,0.708984375,1.0,363.0,0.2421875,1.7109702963052016,124.0,0.41164427204057574,0.05631723170517944,0.0059866811643587425,0.003689003803685864,9.720638990402222,0.37289851857479706,1e-06,0.18790245056152344,4.0,-3.0,0.07958984375,1.0,0.0,0.10831262171268463,3.0,-3.0,0.0,0.0,0.0,0.18448877334594727,3.999478578567505,-3.0088181495666504,8.578894039601437e-09,0.9999999403953552,3.320814847946167,-3.3585312366485596,8.578894039601437e-09,3.320814847946167,-3.3585312366485596,97.26953125,1024.0,1.0,0.00341796875,774.7734375,2048.0,413.0,0.001953125,35.981192709001334,11.66316807900148,1.2920375089997833,43.27772514800017,92.31779637799991,0.0007234479406967874,0.18062122359042476,0.006530534036342394,0.024232408825808745,,
8,,,,,429465,448330,18865,441864,441865,441864.5,0.08521173894405365,0.001,0.685546875,1.0,351.0,0.35546875,1.3887301496588271,182.0,0.35529548746924244,0.006956722730049683,0.003714754122249301,0.0003344835227659543,4.106883347034454,0.3809071958276013,1e-06,0.6366022229194641,4.0,-3.0,0.146484375,1.0,0.0,0.4901178181171417,3.0,-3.0,0.0,0.0,0.0,0.6335030198097229,3.9988791942596436,-3.011538028717041,3.7232830152333918e-09,1.0,2.9175779819488525,-2.9029951095581055,3.7232830152333918e-09,2.9175779819488525,-2.9029951095581055,96.0517578125,1024.0,1.0,0.00244140625,766.96484375,2048.0,407.0,0.00390625,35.92816887700246,11.652637000999675,1.3117319899974973,41.972646701000485,90.97355027199956,0.0007421573751667633,0.18264164663929594,0.006592879152432293,0.023747464834242445,,
9,,,,,426421,468135,41714,441418,441418,441418.0,0.07277850806713104,0.001,0.62890625,1.0,322.0,0.427734375,1.2125673732635216,219.0,0.3384042926903429,0.04203830636307147,0.003419855617564814,0.0005994757896681629,5.065859496593475,0.3830717958905318,1e-06,1.0206973552703857,4.0,-3.0,0.25,1.0,0.0,0.7706973552703857,3.0,-3.0,0.0,0.0,0.0,1.0169007778167725,3.998878240585327,-3.015930414199829,1.0909599890140953e-09,0.9999999403953552,2.972775936126709,-3.0563642978668213,1.0909599890140953e-09,2.972775936126709,-3.0563642978668213,95.611328125,1024.0,1.0,0.001953125,766.533203125,2048.0,413.0,0.001953125,41.50351986299938,11.927770842001337,1.4081996339991747,41.695803171998705,96.63357278400144,0.0007975431643018492,0.2119559570557442,0.006755371802917721,0.023614693539909283,,
10,2.124445607326925,0.725,1.3994456058368088,0.0,415668,463619,47951,441881,441881,441881.0,0.0704798698425293,0.001,0.6328125,1.0,324.0,0.55859375,1.0643623127803488,286.0,0.3720567122101784,-0.09811604147156079,0.0036451424627254405,0.0006951670771741192,37.361895978450775,0.3949512058609657,1e-06,1.335464358329773,4.0,-3.0,0.4140625,1.0,0.0,0.9214017987251282,3.0,-3.0,0.0,0.0,0.0,1.3307744264602661,3.9986276626586914,-3.0145514011383057,1.5928890206851065e-08,0.9999998211860657,2.684335470199585,-2.7115626335144043,1.5928890206851065e-08,2.684335470199585,-2.7115626335144043,95.88671875,1024.0,1.0,0.001953125,767.162109375,2048.0,416.0,0.001953125,37.557351450999704,11.664408988002833,1.300591102000908,40.45316362400263,122.3304227869994,0.0007358265585083473,0.19125224798855106,0.006599293128694622,0.02288691051663379,16.714458307000314,14.54713426699891
11,,,,,428376,436733,8357,431797,431798,431797.25,0.07097689807415009,0.001,0.59375,1.0,304.0,0.462890625,1.1325636502823708,237.0,0.328277654413666,-0.08076440421531775,0.002614402648760006,0.0004867969595839635,75.32926833629608,0.39579364133670686,1e-06,1.5832908153533936,4.0,-3.0,0.57373046875,1.0,0.0,1.009560465812683,3.0,-3.0,0.0,0.0,0.0,1.581508755683899,3.997723340988159,-3.017120599746704,-6.5571192919833265e-09,1.0000001192092896,2.8749451637268066,-2.8826050758361816,-6.5571192919833265e-09,2.8749451637268066,-2.8826050758361816,99.99072265625,1024.0,1.0,0.00244140625,743.36328125,2048.0,399.0,0.0078125,35.85398496600101,10.86040096600118,1.2832401820014638,39.41223559100035,87.50577219800107,0.0007429645406504232,0.17508452916042508,0.0062879053572024715,0.022818716186242705,,
