step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_s/testing,timing_s/save_checkpoint
10,2.5246553476899862,0.8125,1.7121553435921668,0.0,468313,483816,15503,476664,476665,476664.5,0.03678445145487785,0.001,0.36907464917749166,0.12537009481457062,0.002257319774798816,0.00048669869829609524,26.182461857795715,0.41171469113881926,1e-06,2.112088680267334,4.0,-3.0,0.6357421875,1.0,0.0,1.476346492767334,3.0,-3.0,0.0,0.0,0.0,2.114891290664673,5.86898136138916,-3.016836404800415,-0.04483220726251602,0.6433368921279907,1.7320512533187866,-1.732053279876709,-0.04483220726251602,1.7320512533187866,-1.732053279876709,166.9345703125,1024.0,16.0,0.00634765625,764.05078125,1973.0,413.0,0.0,61.91109231300652,21.423278784001013,1.5788351400115062,80.53784187498968,206.4873875080084,0.011236036449117259,0.04224031885896143,0.0008280641520458866,0.18108906673357042,15.306874561996665,25.636298601981252
11,,,,,445444,488907,43463,472985,472985,472985.0,0.04919974505901337,0.001,0.4521370427682996,0.014145006018225104,0.007653503325855127,0.011229362951780786,16.431229412555695,0.40933184901643627,1e-06,2.0978782176971436,4.0,-3.0,0.7236328125,1.0,0.0,1.3742456436157227,3.0,-3.0,0.0,0.0,0.0,2.0992071628570557,6.1221184730529785,-3.0182833671569824,-0.04029368236660957,0.5862106680870056,1.7320520877838135,-1.7320526838302612,-0.04029368236660957,1.7320520877838135,-1.7320526838302612,153.2421875,1024.0,32.0,0.00634765625,770.556640625,2048.0,418.0,0.0078125,60.73199992501759,21.167700485995738,1.3103292920277454,80.44083440600662,163.74761826600297,0.011188357181515132,0.042517645594472665,0.0006925850143385865,0.19351261765554928,,
12,,,,,451465,482921,31456,467011,467012,467011.75,0.061374932527542114,0.001,0.3151117656379938,0.023709606553893536,0.0013783409231109545,0.00031413532997248694,2.5614914894104004,0.418689541974064,1e-06,2.2449254989624023,4.0,-3.0,0.8056640625,1.0,0.0,1.4392613172531128,3.0,-3.0,0.0,0.0,0.0,2.2368834018707275,4.001893520355225,-3.0256032943725586,-0.03234812989830971,0.5412564277648926,1.732050895690918,-1.7320529222488403,-0.03234812989830971,1.732050895690918,-1.7320529222488403,150.45458984375,1024.0,31.0,0.001953125,761.677734375,2048.0,399.0,0.00390625,59.10187526099617,20.543576995987678,1.2452557380020153,78.4588488220179,159.4470141089987,0.010997355524774098,0.04200046830835514,0.0006666083551441775,0.19180762487706907,,
13,,,,,444770,474407,29637,464095,464096,464095.75,0.06458989530801773,0.001,0.3442336186285942,0.07814207238956325,0.0013343674983198365,-0.0016044551484370576,30.106329083442688,0.4118539524084645,1e-06,2.4200007915496826,4.0,-3.0,0.8447265625,1.0,0.0,1.5752742290496826,3.0,-3.0,0.0,0.0,0.0,2.416189670562744,4.11646842956543,-3.019608974456787,-0.02500501461327076,0.5252209901809692,1.7320520877838135,-1.7320514917373657,-0.02500501461327076,1.7320520877838135,-1.7320514917373657,145.18505859375,1024.0,23.0,0.00439453125,761.251953125,2048.0,389.0,0.005859375,64.35968878201675,20.92046361998655,1.3717716669780202,78.32643212599214,165.09371780900983,0.011269475975586153,0.04219303458714723,0.0007389486258913275,0.21645222719527793,,
14,,,,,460626,480536,19910,468277,468278,468277.25,0.07069995254278183,0.001,0.33424607245251536,0.007487834052881226,0.001191623839076783,0.0036161433705501622,11.300658106803894,0.4071707639054983,1e-06,2.296497344970703,4.0,-3.0,0.83642578125,1.0,0.0,1.4600714445114136,3.0,-3.0,0.0,0.0,0.0,2.290025234222412,4.0011210441589355,-3.0286521911621094,-0.01956496760249138,0.5130263566970825,1.7320514917373657,-1.7320516109466553,-0.01956496760249138,1.7320514917373657,-1.7320516109466553,148.60205078125,1024.0,20.0,0.00390625,766.001953125,2048.0,418.0,0.00390625,67.41433342400705,20.743867858021986,1.2502651099930517,79.94666050100932,169.47658710100222,0.011074565259161099,0.04268126441173969,0.0006674812357385778,0.22151211789564546,,
15,,,,,459256,472038,12782,467678,467679,467678.25,0.07699207961559296,0.001,0.3044664850458503,0.0031182163293124177,0.0010928231440630043,7.020092292009394e-05,2.13992178440094,0.41128247726095507,1e-06,2.486903190612793,4.0,-3.0,0.8642578125,1.0,0.0,1.6226451396942139,3.0,-3.0,0.0,0.0,0.0,2.4763591289520264,4.0029802322387695,-3.020900011062622,-0.014614176005125046,0.493921160697937,1.732050895690918,-1.7320516109466553,-0.014614176005125046,1.732050895690918,-1.7320516109466553,149.81494140625,1024.0,36.0,0.0048828125,763.619140625,2048.0,407.0,0.005859375,60.27384315000381,20.75200681699789,1.4422700830036774,79.0509939090116,161.61829464699258,0.011093100233439278,0.04225714682530757,0.0007709734646649044,0.19644627698235717,,
16,,,,,445397,491543,46146,463083,463084,463083.75,0.07570444047451019,0.001,0.2927236813120544,-0.06035924518073443,0.000856322390063724,4.896782689911561e-05,8.213432967662811,0.40336188260878164,1e-06,2.4281976222991943,4.0,-3.0,0.857421875,1.0,0.0,1.5707756280899048,3.0,-3.0,0.0,0.0,0.0,2.4214072227478027,5.244862079620361,-3.0274786949157715,-0.017479373142123222,0.45555558800697327,1.7320520877838135,-1.7320514917373657,-0.017479373142123222,1.7320520877838135,-1.7320514917373657,141.81201171875,1024.0,18.0,0.00244140625,762.6484375,2048.0,389.0,0.00390625,57.965632998006186,20.551134152017767,1.368897570995614,79.7663304900052,159.75520975800464,0.011094717830207693,0.04306258343658421,0.0007390118801381035,0.19958486868828115,,
17,,,,,455207,459975,4768,456497,456498,456497.5,0.07673805952072144,0.001,0.2976942537352443,0.0222748639062047,0.0012927615034641349,0.00017802034602709682,2.3524580597877502,0.41356873227409563,1e-06,2.4663712978363037,4.0,-3.0,0.89697265625,1.0,0.0,1.5693987607955933,3.0,-3.0,0.0,0.0,0.0,2.4599320888519287,8.222594261169434,-3.021470546722412,-0.015662984922528267,0.4557669162750244,1.7320510149002075,-1.7320518493652344,-0.015662984922528267,1.7320510149002075,-1.7320518493652344,135.2607421875,1024.0,20.0,0.001953125,756.3359375,2048.0,399.0,0.001953125,54.678160819021286,20.52271341299638,1.3110638950020075,76.73675170500064,153.3705406379886,0.01123922552313889,0.042024738199552374,0.0007180016840190841,0.19738410628712372,,
18,,,,,443735,501776,58041,473631,473632,473631.25,0.08141684532165527,0.001,0.3000096082687378,0.027678050524131817,0.000950688631167974,0.0003198909618566342,5.211381018161774,0.403919975573174,1e-06,2.4551808834075928,4.0,-3.0,0.90283203125,1.0,0.0,1.5523486137390137,3.0,-3.0,0.0,0.0,0.0,2.4485902786254883,13.454435348510742,-3.0177767276763916,-0.01374063827097416,0.48703834414482117,1.732050895690918,-1.7320513725280762,-0.01374063827097416,1.732050895690918,-1.7320513725280762,147.34814453125,1024.0,24.0,0.0029296875,777.712890625,2048.0,420.0,0.00390625,61.08842322099372,20.978642924979795,1.3066724539967254,81.5199646030087,165.00183735700557,0.011073299600152964,0.0430292366704101,0.0006897097974409023,0.20243438928781193,,
19,,,,,453456,477059,23603,464146,464147,464146.25,0.08128435909748077,0.001,0.28374336179225673,-0.03357654518537944,0.0007675916562983466,0.011055631330823563,2.1398985683918,0.41992962767989567,1e-06,2.579627752304077,4.0,-3.0,0.9072265625,1.0,0.0,1.6724008321762085,3.0,-3.0,0.0,0.0,0.0,2.571967124938965,8.96387004852295,-3.0203473567962646,-0.013634889386594296,0.4383687973022461,1.7320514917373657,-1.7320514917373657,-0.013634889386594296,1.7320514917373657,-1.7320514917373657,147.49072265625,1024.0,28.0,0.00244140625,759.044921875,2048.0,414.0,0.001953125,61.331809819996124,20.577685497992206,1.2009878429817036,76.90615595600684,160.11854629698792,0.01108362154062012,0.04142345002033672,0.0006468800744278897,0.20304445069041063,,
20,2.7414506362751125,0.95,1.7914506340399385,0.0,462217,471673,9456,468484,468485,468484.5,0.09109928458929062,0.001,0.26570282643660903,-0.047954159206710756,0.0008799714933047653,2.1069004901619337e-05,2.1290221214294434,0.4147862838290409,1e-06,2.596898078918457,4.0,-3.0,0.9091796875,1.0,0.0,1.6877182722091675,3.0,-3.0,0.0,0.0,0.0,2.5852768421173096,4.002656936645508,-3.0268867015838623,0.005074609536677599,0.4181657135486603,1.7320514917373657,-1.7320538759231567,0.005074609536677599,1.7320514917373657,-1.7320538759231567,137.4619140625,1024.0,34.0,0.00244140625,777.546875,2048.0,393.0,0.00390625,59.67060539301019,21.447070139984135,1.3442437860067002,78.64049859900842,206.20255273400107,0.011444919810572246,0.04196536843748749,0.0007173363184943686,0.21195716637779707,18.277361526997993,26.487026979011716
21,,,,,446962,493717,46755,463862,463863,463862.75,0.09728588163852692,0.001,0.24721724227551492,0.024435991361256567,0.0010166580398236552,0.00011579729189472874,2.0598347187042236,0.41707851917707756,1e-06,2.59037709236145,4.0,-3.0,0.923828125,1.0,0.0,1.6665488481521606,3.0,-3.0,0.0,0.0,0.0,2.5775840282440186,4.001382350921631,-3.0244977474212646,-0.003877809504047036,0.42331093549728394,1.7320512533187866,-1.7320529222488403,-0.003877809504047036,1.7320512533187866,-1.7320529222488403,140.54052734375,1024.0,25.0,0.0009765625,765.44140625,2048.0,402.0,0.009765625,58.9877167789964,20.466175054985797,1.2438119500002358,77.34530166399782,158.14417795802,0.011030296706830737,0.04168544556768021,0.0006703555900965511,0.20494156829969531,,
22,,,,,462738,495721,32983,472709,472710,472709.5,0.09402395039796829,0.001,0.26520654931664467,0.024337762487675718,0.0009883814409477054,0.0002191035514442774,1.9882076680660248,0.4161512153796645,1e-06,2.5056281089782715,4.0,-3.0,0.9130859375,1.0,0.0,1.592542290687561,3.0,-3.0,0.0,0.0,0.0,2.493178367614746,4.001689910888672,-3.030595064163208,-0.012821300886571407,0.4569830894470215,1.732051134109497,-1.7320517301559448,-0.012821300886571407,1.732051134109497,-1.7320517301559448,144.0869140625,1024.0,33.0,0.0009765625,779.173828125,2048.0,423.0,0.0078125,59.692493212001864,21.2436230769963,1.3059333869896363,79.10809126400272,161.4559849590005,0.011235030751971508,0.04183758273527543,0.0006906638151918019,0.20228572032939734,,
23,,,,,447073,466765,19692,457355,457356,457355.25,0.09984263777732849,0.001,0.2408635993488133,-0.019622855877969414,0.0009490672700849245,9.225516890865038e-06,2.1716631054878235,0.4076108818503729,1e-06,2.5784976482391357,4.0,-3.0,0.9052734375,1.0,0.0,1.6732240915298462,3.0,-3.0,0.0,0.0,0.0,2.56593656539917,4.003622531890869,-3.0286691188812256,-0.004466229118406773,0.402629017829895,1.7320520877838135,-1.732051134109497,-0.004466229118406773,1.7320520877838135,-1.732051134109497,138.37353515625,1024.0,36.0,0.00244140625,754.8984375,2048.0,418.0,0.001953125,64.61234045901801,20.129094356001588,1.204490560980048,77.86876336598652,163.92316994801513,0.011002986385310755,0.04256470400524894,0.0006583998767807126,0.22799875951084203,,
24,,,,,448070,480404,32334,464264,464265,464264.75,0.10264510661363602,0.001,0.22915232367813587,0.001645095951971598,0.0009038863954629051,-0.00016190491319889588,1.803932547569275,0.4098766113185937,1e-06,2.6909570693969727,4.0,-3.0,0.9384765625,1.0,0.0,1.7524802684783936,3.0,-3.0,0.0,0.0,0.0,2.677382469177246,4.001753330230713,-3.021197557449341,0.0020271192770451307,0.3639166057109833,1.732050895690918,-1.732051134109497,0.0020271192770451307,1.732050895690918,-1.732051134109497,139.87451171875,1024.0,30.0,0.001953125,766.892578125,2048.0,413.0,0.00390625,61.32666967599653,21.465790204005316,1.2616905070026405,78.69889032197534,162.85967134698876,0.0115590243519486,0.04237823909847525,0.0006794024890984296,0.21408234109115845,,
25,,,,,457510,489846,32336,472229,472229,472229.0,0.09952506422996521,0.001,0.2160647683776915,-0.023781276162480935,0.0007494052379115601,0.0001349975962625649,1.9659810066223145,0.4130469048813194,1e-06,2.569383144378662,4.0,-3.0,0.95263671875,1.0,0.0,1.6167465448379517,3.0,-3.0,0.0,0.0,0.0,2.555966377258301,4.002042293548584,-3.0261728763580322,-0.0028471655678004026,0.4129701554775238,1.7320525646209717,-1.732053279876709,-0.0028471655678004026,1.7320525646209717,-1.732053279876709,139.521484375,830.0,42.0,0.0,782.80078125,2048.0,399.0,0.00390625,55.546472601999994,20.7263643820188,1.6234972680103965,79.50987964399974,157.50204891100293,0.01097262365399986,0.04209286153751662,0.0008594862174974411,0.19439515854273112,,
26,,,,,438295,475318,37023,463202,463203,463202.5,0.10192060470581055,0.001,0.2408640435896814,-0.0011929645552299917,0.0007209828572740662,1.584835399626172e-05,2.1347954273223877,0.41800992727997666,1e-06,2.660402536392212,4.0,-3.0,0.9326171875,1.0,0.0,1.7277854681015015,3.0,-3.0,0.0,0.0,0.0,2.6469082832336426,4.001951694488525,-3.0226309299468994,-0.005254821851849556,0.38083308935165405,1.732051968574524,-1.7320528030395508,-0.005254821851849556,1.732051968574524,-1.7320528030395508,142.8642578125,1024.0,35.0,0.00244140625,761.828125,2048.0,425.0,0.00390625,58.38473355601309,20.44724087798386,1.2879775349865668,77.05376737299957,157.2754888049967,0.011035800151113098,0.041587517000123905,0.0006951481992144724,0.19954725638278348,,
27,,,,,439690,462234,22544,455169,455170,455169.25,0.10510849952697754,0.001,0.22333804301677213,0.003924642531802097,0.0007462970520024218,3.939207911776799e-05,1.8040221631526947,0.4109011575190384,1e-06,2.7099156379699707,4.0,-3.0,0.94189453125,1.0,0.0,1.7680209875106812,3.0,-3.0,0.0,0.0,0.0,2.696629762649536,4.002569198608398,-3.00892972946167,0.004313956014811993,0.3289654850959778,1.7320518493652344,-1.7320525646209717,0.004313956014811993,1.7320518493652344,-1.7320525646209717,133.02392578125,1024.0,43.0,0.0009765625,755.978515625,2048.0,389.0,0.009765625,56.110074561001966,20.415991135989316,1.24538878002204,76.98574089698377,154.85649282298982,0.011213406406512147,0.042284128869087584,0.000684025107156316,0.20595917000143876,,
28,,,,,437620,486291,48671,459903,459904,459903.5,0.11168219149112701,0.001,0.2291960906117193,-0.002614220363959189,0.0011354583163460297,2.646125912794941e-05,1.7098515331745148,0.4140555344863364,1e-06,2.7573723793029785,4.0,-3.0,0.93017578125,1.0,0.0,1.8271965980529785,3.0,-3.0,0.0,0.0,0.0,2.7430992126464844,4.001012325286865,-3.0237877368927,0.00429403455927968,0.34091538190841675,1.7320514917373657,-1.7320512533187866,0.00429403455927968,1.7320514917373657,-1.7320512533187866,135.6923828125,1024.0,28.0,0.0009765625,762.556640625,2048.0,393.0,0.00390625,64.78900015700492,20.51201861401205,1.2402683679829352,77.13074850401608,163.7685922079836,0.01115017531613265,0.04192768075477578,0.0006742003311471511,0.23313949779057394,,
29,,,,,446325,485016,38691,464302,464303,464302.5,0.11420677602291107,0.001,0.19017148716375232,0.008885176030162256,0.0007943613745737821,-3.465646103251174e-05,1.6400043666362762,0.41088920331475476,1e-06,2.7852776050567627,4.0,-3.0,0.94384765625,1.0,0.0,1.8414298295974731,3.0,-3.0,0.0,0.0,0.0,2.7707691192626953,3.999802589416504,-3.028045177459717,-0.0033840136602520943,0.35060033202171326,1.732050895690918,-1.732050895690918,-0.0033840136602520943,1.732050895690918,-1.732050895690918,139.8486328125,1024.0,39.0,0.001953125,766.9921875,2048.0,393.0,0.0078125,66.95400050998433,21.196700572996633,1.2845665630011354,79.31646149099106,168.84748373401817,0.011413195369934813,0.042707319845893064,0.0006916646814313596,0.23376977238917748,,
30,2.74930778183043,0.975,1.774307776801288,0.0,434249,497600,63351,471010,471011,471010.25,0.11857086420059204,0.001,0.2140255012819844,0.002153818563167607,0.0007432209583179604,0.00033745588828629306,1.7833087742328644,0.40891660812616637,1e-06,2.65010666847229,4.0,-3.0,0.92529296875,1.0,0.0,1.724813461303711,3.0,-3.0,0.0,0.0,0.0,2.634540557861328,4.000362873077393,-3.0387911796569824,-0.014486866071820259,0.35674139857292175,1.7320517301559448,-1.7320514917373657,-0.014486866071820259,1.7320517301559448,-1.7320514917373657,140.81884765625,1024.0,40.0,0.00244140625,779.123046875,2048.0,407.0,0.005859375,61.34639611199964,21.249492372007808,1.2904802499979269,80.0605874239991,206.1044089650095,0.011278678315391123,0.04249407917555886,0.0006849533794635715,0.21271509797952004,16.088281005009776,25.967492966010468
31,,,,,442860,497171,54311,472989,472990,472989.25,0.11245518177747726,0.001,0.215509963221848,0.06323526130290702,0.00426407277063845,0.0014689894127570824,32.31433391571045,0.4106003492364698,1e-06,2.6767807006835938,4.0,-3.0,0.93359375,1.0,0.0,1.7431871891021729,3.0,-3.0,0.0,0.0,0.0,2.670372486114502,14.659618377685547,-3.0282464027404785,-0.011122911237180233,0.3548049032688141,1.7320520877838135,-1.7320512533187866,-0.011122911237180233,1.7320520877838135,-1.7320512533187866,134.76806640625,1024.0,45.0,0.00341796875,789.0390625,2048.0,416.0,0.00390625,63.40688960099942,21.283168769994518,1.584242593991803,80.27009458001703,166.6633651930024,0.011249287785078898,0.042427018468187715,0.0008373565540822561,0.22973094545750772,,
32,,,,,445216,459969,14753,453339,453339,453339.0,0.12353494763374329,0.001,0.20833228970877826,0.023258451896253973,0.0006731757648594794,8.589698154537473e-06,1.8470019698143005,0.4014464056766312,1e-06,2.8256475925445557,4.0,-3.0,0.94970703125,1.0,0.0,1.8759405612945557,3.0,-3.0,0.0,0.0,0.0,2.8104631900787354,4.002486228942871,-3.043222188949585,-0.016072867438197136,0.3560304045677185,1.732050895690918,-1.7320531606674194,-0.016072867438197136,1.732050895690918,-1.7320531606674194,128.69921875,1018.0,30.0,0.0,756.728515625,2048.0,407.0,0.005859375,52.14945173700107,19.99358799000038,1.339769084006548,78.41079585399712,151.99176021199673,0.01102573790805577,0.04324070720476129,0.0007388340094314343,0.1978535668535871,,
33,,,,,452465,480978,28513,466105,466106,466105.75,0.1203538104891777,0.001,0.1941797067411244,0.00023476500064134598,0.0010030295943579404,0.00010510433003219077,3.9308639764785767,0.411648745508998,1e-06,2.6059887409210205,4.0,-3.0,0.9384765625,1.0,0.0,1.6675119400024414,3.0,-3.0,0.0,0.0,0.0,2.5952911376953125,12.972197532653809,-3.027224063873291,-0.003072335384786129,0.29622724652290344,1.7320514917373657,-1.7320525646209717,-0.003072335384786129,1.7320514917373657,-1.7320525646209717,137.34716796875,1024.0,47.0,0.0009765625,773.015625,2048.0,418.0,0.001953125,57.47441893699579,20.64572254300583,1.2327875760092866,78.62857770800474,158.08732602902455,0.011073518478910542,0.04217314295522247,0.0006612166745471851,0.20432660925316773,,
