step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/adv,timing_per_token_ms/update_actor,timing_s/testing,timing_s/save_checkpoint
10,1.4416906025260687,0.025,1.4166906025260686,0.0,431276,461820,30544,444756,444757,444756.75,0.11783889681100845,0.001,0.38981610140763223,0.1085254591453122,0.004440450524271,1.0838996956863411e-05,84.18838441371918,0.37236005681834594,1e-06,1.1180064678192139,3.0,-3.0,0.00341796875,1.0,0.0,1.1145884990692139,3.0,-3.0,0.0,0.0,0.0,1.109143614768982,3.3960177898406982,-5.64225959777832,-0.013952567242085934,0.6771018505096436,1.7320513725280762,-1.7320520877838135,-0.013952567242085934,1.7320513725280762,-1.7320520877838135,99.63037109375,1024.0,1.0,0.0068359375,769.03515625,2048.0,399.0,0.001953125,46.926919761000136,11.963491011000087,1.4436548710000352,43.18628685899989,161.666636938,0.22998544307327443,0.0067247383041404585,0.0008114856441189679,0.024275228458589943,18.21422802699999,39.83677889499995
11,,,,,433892,450771,16879,438802,438803,438802.75,0.10456723719835281,0.001,0.3387964652585132,0.04187604906370065,0.0009467003390974631,0.00028138727585818354,72.24023833870888,0.37691338448961925,1e-06,1.1796913146972656,3.0,-3.0,0.00732421875,1.0,0.0,1.1723670959472656,3.0,-3.0,0.0,0.0,0.0,1.1743284463882446,2.9990010261535645,-4.305934429168701,-0.025285348296165466,0.6103330254554749,1.7320514917373657,-1.7320514917373657,-0.025285348296165466,1.7320514917373657,-1.7320514917373657,85.57763671875,1024.0,1.0,0.001953125,771.458984375,2048.0,419.0,0.005859375,37.096613941999976,12.255610458999854,1.2023458080000182,42.093621156999916,92.77416405200006,0.21166255251821534,0.0069824143416374745,0.0006850149685707406,0.023982086003904893,,
12,,,,,425753,443073,17320,434741,434741,434741.0,0.12180830538272858,0.001,0.29568409765588827,-0.07585474925822225,0.0006647796113172482,9.257591597721832e-05,7.214873909950256,0.3717608468347854,1e-06,1.2384566068649292,3.0,-3.0,0.00244140625,1.0,0.0,1.2360152006149292,3.0,-3.0,0.0,0.0,0.0,1.2325890064239502,3.001492500305176,-3.0181632041931152,-0.003766070818528533,0.5356259346008301,1.7320512533187866,-1.7320547103881836,-0.003766070818528533,1.7320512533187866,-1.7320547103881836,88.31640625,1024.0,1.0,0.00390625,760.787109375,2048.0,393.0,0.01171875,43.20722694099982,12.035000103999892,1.2099559379998936,42.27792473299996,98.83096695099994,0.23888289475982916,0.006920787379152122,0.0006957912515727143,0.024312133392640656,,
13,,,,,419547,440910,21363,431527,431528,431527.25,0.1049388125538826,0.001,0.3091472618538758,-0.07071036466493688,0.0006555840513540496,-0.000122564043679098,47.88231027126312,0.3705693498621545,1e-06,1.3720616102218628,3.0,-3.0,0.00341796875,1.0,0.0,1.3686436414718628,3.0,-3.0,0.0,0.0,0.0,1.367928385734558,3.780841827392578,-3.0180552005767822,-0.026173988357186317,0.5797706246376038,1.7320514917373657,-1.7320518493652344,-0.026173988357186317,1.7320514917373657,-1.7320518493652344,84.47119140625,1024.0,1.0,0.00244140625,758.35546875,2034.0,418.0,0.0,40.21693224800015,11.922855300000265,1.383668060999753,42.05092873900003,95.70768535100001,0.2324718477661471,0.006907359442538255,0.0008016110575866025,0.02436168789977923,,
14,,,,,437376,460010,22634,449698,449698,449698.0,0.11451799422502518,0.001,0.32902742802135404,0.008611764653675979,0.0009556458277192207,0.0003026241138286423,2.542803943157196,0.3740346615512237,1e-06,1.394687533378601,3.0,-3.0,0.0068359375,1.0,0.0,1.387851595878601,3.0,-3.0,0.0,0.0,0.0,1.3893566131591797,2.9986581802368164,-3.018286943435669,-0.022648384794592857,0.5570158958435059,1.7320514917373657,-1.7320512533187866,-0.022648384794592857,1.7320514917373657,-1.7320512533187866,85.98828125,1024.0,1.0,0.0009765625,792.328125,2048.0,389.0,0.001953125,42.74130259100002,11.898647498000173,1.2938360260000081,43.49464686400006,99.53911466400041,0.2427048936480717,0.006614798986208618,0.0007192805093640666,0.024179920115277396,,
15,,,,,434655,462143,27488,444821,444822,444821.75,0.09764409065246582,0.001,0.25416171226289963,0.002289331758454923,0.0069098977762604916,0.0035745836402413496,22.450612127780914,0.36862829167060535,1e-06,1.3837529420852661,3.0,-3.0,0.00927734375,1.0,0.0,1.3744755983352661,3.0,-3.0,0.0,0.0,0.0,1.387284755706787,8.143330574035645,-3.0200350284576416,-0.03773666173219681,0.5638341903686523,1.7320529222488403,-1.7320526838302612,-0.03773666173219681,1.7320529222488403,-1.7320526838302612,83.05810546875,1024.0,1.0,0.00634765625,785.734375,2048.0,418.0,0.00390625,42.07127382900035,11.864338251999925,1.2400859879999189,43.63524803900009,98.91520432800007,0.24732822953739997,0.006668029526433861,0.0006969566955752045,0.02452400767217435,,
16,,,,,414774,446097,31323,430477,430477,430477.0,0.12132466584444046,0.001,0.2641463642939925,-0.0651832912449858,0.0008614993067957195,0.0002905814503963354,1.9328720569610596,0.3696161309897132,1e-06,1.4373655319213867,3.0,-3.0,0.00634765625,1.0,0.0,1.4310178756713867,3.0,-3.0,0.0,0.0,0.0,1.431908130645752,3.000290632247925,-3.023045301437378,0.0001628098834771663,0.5344555377960205,1.7320524454116821,-1.7320529222488403,0.0001628098834771663,1.7320524454116821,-1.7320529222488403,74.09765625,1024.0,1.0,0.00048828125,766.677734375,2047.0,389.0,0.0,35.52028222100034,11.509682127999895,1.5320329159999346,42.04940604400008,90.70870939099996,0.23406796761163176,0.006684260789775002,0.0008897298322558085,0.024420239666695362,,
17,,,,,400624,449612,48988,425881,425882,425881.75,0.11138102412223816,0.001,0.1945624766421729,0.025524651771210584,0.00038845062552919163,6.382814912097368e-05,1.9486210346221924,0.3755359180881198,1e-06,1.5918997526168823,3.0,-3.0,0.00439453125,1.0,0.0,1.5875052213668823,3.0,-3.0,0.0,0.0,0.0,1.5862749814987183,2.9986393451690674,-3.0298643112182617,-0.01928946189582348,0.42855438590049744,1.7320520877838135,-1.7320513725280762,-0.01928946189582348,1.7320520877838135,-1.7320513725280762,73.46630859375,1024.0,1.0,0.0048828125,758.333984375,2048.0,399.0,0.0078125,35.61744625900019,11.520501163000063,1.254938189999848,40.98586035599965,89.50243567400003,0.23672526242365158,0.006762734704527761,0.0007366705605487016,0.02405941341463895,,
18,,,,,420486,429013,8527,423832,423832,423832.0,0.11318092048168182,0.001,0.22381712389843805,-0.0030747008776026113,0.000590693462332378,0.002842095126685048,1.8234947621822357,0.38425768133672356,1e-06,1.5608108043670654,3.0,-3.0,0.01123046875,1.0,0.0,1.5495803356170654,3.0,-3.0,0.0,0.0,0.0,1.5543395280838013,2.999359369277954,-3.0321738719940186,-0.013632707297801971,0.4403575360774994,1.7320514917373657,-1.7320514917373657,-0.013632707297801971,1.7320514917373657,-1.7320514917373657,75.982421875,1024.0,1.0,0.0029296875,751.814453125,2048.0,416.0,0.001953125,36.17172720000008,11.432324916999733,1.3215516800000842,39.86919583600002,88.90489464499979,0.2324481865151793,0.006743429541068002,0.0007795256611110559,0.02351709865937448,,
19,,,,,421486,443793,22307,429052,429053,429052.5,0.10943887382745743,0.001,0.21055657170446856,-0.009797609086880195,0.0006161091545696504,3.712127928728088e-06,2.1671618819236755,0.38635720012545405,1e-06,1.5153932571411133,3.0,-3.0,0.0107421875,1.0,0.0,1.5046510696411133,3.0,-3.0,0.0,0.0,0.0,1.5121407508850098,7.922141075134277,-3.0209338665008545,-0.019052667543292046,0.4862120747566223,1.7320510149002075,-1.7320512533187866,-0.019052667543292046,1.7320510149002075,-1.7320512533187866,75.6201171875,1024.0,1.0,0.0029296875,762.373046875,2048.0,407.0,0.0078125,39.8573924530001,11.410030352999911,1.216029183000046,40.137999887000205,92.71585661800009,0.25736031802802417,0.006648388223469104,0.0007085550037583082,0.023387580708071974,,
20,1.716424097493291,0.0375,1.6789240974932909,0.0,413397,456944,43547,434002,434003,434002.25,0.1039682999253273,0.001,0.2318463343506058,0.0022448319621616976,0.0026242739812005313,0.005927177252669935,92.42116975784302,0.38178383127781795,1e-06,1.5287065505981445,3.0,-3.0,0.00830078125,1.0,0.0,1.5204057693481445,3.0,-3.0,0.0,0.0,0.0,1.5297833681106567,6.499878406524658,-3.0220062732696533,-0.011437502689659595,0.4902350604534149,1.7320516109466553,-1.7320513725280762,-0.011437502689659595,1.7320516109466553,-1.7320513725280762,75.02001953125,1024.0,1.0,0.0048828125,772.640625,2048.0,418.0,0.0078125,45.355341557999964,11.52066242300043,1.419305445000191,41.09781670400025,158.60270545000003,0.2952033738259967,0.006636291875791215,0.0008175680224009155,0.023673734815891075,11.20624534999979,47.63663362499983
21,,,,,413913,456255,42342,433261,433261,433261.0,0.11251624673604965,0.001,0.19484687458466868,0.04781956896025302,0.009773858743599328,-0.004492352500227722,22.887789011001587,0.3899949964080919,1e-06,1.6046732664108276,3.0,-3.0,0.0087890625,1.0,0.0,1.5958842039108276,3.0,-3.0,0.0,0.0,0.0,1.6025649309158325,7.355620861053467,-3.027254819869995,-0.015481156297028065,0.44660377502441406,1.7320512533187866,-1.732059121131897,-0.015481156297028065,1.7320512533187866,-1.732059121131897,74.73828125,1024.0,1.0,0.0029296875,771.474609375,2048.0,393.0,0.00390625,44.86376935499993,12.040533760000017,1.2602091759999894,40.16826470500018,98.46219772699988,0.29310464482177345,0.006947621502973967,0.000727165136026546,0.02317786778927724,,
22,,,,,437634,448771,11137,443686,443687,443686.5,0.11166094988584518,0.001,0.22131561757675533,-0.018136389128028833,0.0004520560213332546,7.466655658610198e-05,60.71519488096237,0.37900530088457757,1e-06,1.5269064903259277,3.0,-3.0,0.02099609375,1.0,0.0,1.5059103965759277,3.0,-3.0,0.0,0.0,0.0,1.5222455263137817,4.071186065673828,-3.0230088233947754,-0.027645578607916832,0.5293663740158081,1.7320520877838135,-1.7320526838302612,-0.027645578607916832,1.7320520877838135,-1.7320526838302612,80.9521484375,1024.0,1.0,0.001953125,785.623046875,2048.0,399.0,0.00390625,42.32852356700005,12.235236514000007,1.2213527480002995,42.35333383299985,98.27055965,0.2553140935339891,0.006894077526586907,0.0006881845334488989,0.02386444811426528,,
23,,,,,415611,440831,25220,426323,426324,426323.25,0.11779576539993286,0.001,0.22854869041977258,-0.034687377175251985,0.0005960294450954374,-7.078736705117426e-05,1.8283860385417938,0.37415152591431555,1e-06,1.6624587774276733,3.0,-3.0,0.00830078125,1.0,0.0,1.6541579961776733,3.0,-3.0,0.0,0.0,0.0,1.656516671180725,2.998621940612793,-3.0275774002075195,0.00623579416424036,0.36031198501586914,1.7320512533187866,-1.7320514917373657,0.00623579416424036,1.7320512533187866,-1.7320514917373657,72.08642578125,1024.0,1.0,0.00146484375,760.576171875,2048.0,393.0,0.00390625,36.03960173199994,11.482643689999804,1.2844477960002223,41.172929634999946,90.0793210730003,0.2441161646244399,0.006733531240672309,0.0007532123781662285,0.02414419670695883,,
24,,,,,412319,440518,28199,424896,424897,424896.5,0.1232529878616333,0.001,0.14767972007393837,0.013263181034874703,0.003061206088334854,0.0014379649671484782,10.325981765985489,0.37186861643713304,1e-06,1.7596898078918457,3.0,-3.0,0.00830078125,1.0,0.0,1.7513890266418457,3.0,-3.0,0.0,0.0,0.0,1.7566617727279663,4.829631328582764,-3.0199527740478516,-0.0028975289314985275,0.3472636640071869,1.7320517301559448,-1.7320514917373657,-0.0028975289314985275,1.7320517301559448,-1.7320514917373657,71.9150390625,1024.0,1.0,0.00390625,757.9609375,2048.0,402.0,0.00390625,35.55492824399971,12.225388930000008,1.5738089510000464,41.2835872579999,90.75020356799996,0.2414071525644662,0.007193156998233693,0.0009259954783106276,0.024290378514532304,,
25,,,,,410722,431861,21139,425141,425142,425141.25,0.11170977354049683,0.001,0.13720458852393286,0.029129372277696217,0.00046047422386306735,1.491285201739499e-05,26.403171956539154,0.3688879298933821,1e-06,1.733105182647705,3.0,-3.0,0.0068359375,1.0,0.0,1.726269245147705,3.0,-3.0,0.0,0.0,0.0,1.72981595993042,5.447176933288574,-4.009331226348877,-0.017647136002779007,0.4172249436378479,1.7320510149002075,-1.7320512533187866,-0.017647136002779007,1.7320510149002075,-1.7320512533187866,75.13330078125,1024.0,1.0,0.00390625,755.220703125,2048.0,419.0,0.009765625,46.838849050000135,11.849897710999812,1.3687866380000742,41.64382288900015,101.79326961100014,0.30439940112950375,0.00696821215948806,0.000804901099340557,0.024488227670803615,,
26,,,,,413623,445195,31572,425810,425810,425810.0,0.12133779376745224,0.001,0.28625965730420183,0.12544715196625994,0.0036081735431382966,-0.0016350413321301208,221.96265828609467,0.37802705622663285,1e-06,1.698307991027832,3.0,-3.0,0.01904296875,1.0,0.0,1.679265022277832,3.0,-3.0,0.0,0.0,0.0,1.6942050457000732,2.9990241527557373,-3.019228458404541,-0.028865383937954903,0.42633214592933655,1.732051134109497,-1.7320517301559448,-0.028865383937954903,1.732051134109497,-1.7320517301559448,74.384765625,1024.0,1.0,0.001953125,757.275390625,2048.0,418.0,0.005859375,36.39308610699982,11.482533992999834,1.1511487040002066,40.67547316199989,89.80904579700018,0.23889383029407785,0.006741583096333948,0.0006758581902727781,0.023881234096193076,,
27,,,,,417259,450355,33096,434534,434535,434534.25,0.12619325518608093,0.001,0.1812059411714817,-0.07691924627228029,0.0003956477779991411,-0.00015331153977528848,21.131963282823563,0.38673686779226973,1e-06,1.6085052490234375,3.0,-3.0,0.0205078125,1.0,0.0,1.5879974365234375,3.0,-3.0,0.0,0.0,0.0,1.6026334762573242,2.9993410110473633,-3.022001266479492,-0.004422795958817005,0.36219948530197144,1.7320516109466553,-1.7320526838302612,-0.004422795958817005,1.7320516109466553,-1.7320526838302612,74.83447265625,1024.0,1.0,0.0009765625,773.865234375,2048.0,418.0,0.00390625,35.008546068000214,11.529676655000003,1.3520702299997538,40.613549814999715,88.61736136799982,0.22842436150097034,0.006633353213814563,0.000777884729454441,0.023366138466070118,,
28,,,,,422103,445724,23621,435644,435645,435644.75,0.12419848889112473,0.001,0.16002294401239073,-0.007060242883328881,0.0006990838301135227,0.00020309706841154757,1.9139457046985626,0.37041008833474925,1e-06,1.6766259670257568,3.0,-3.0,0.02197265625,1.0,0.0,1.6546533107757568,3.0,-3.0,0.0,0.0,0.0,1.672260046005249,6.563608646392822,-3.019233226776123,0.009969270788133144,0.39559879899024963,1.7320528030395508,-1.7320528030395508,0.009969270788133144,1.7320528030395508,-1.7320528030395508,69.39208984375,1024.0,1.0,0.00146484375,781.4765625,2048.0,389.0,0.005859375,35.474364799999876,11.729861786000129,1.2067249430001539,42.48485368699994,90.98813421700015,0.24961731555430378,0.006731322818649903,0.0006924936791962682,0.02438044627359789,,
29,,,,,428001,445158,17157,435581,435582,435581.25,0.13018837571144104,0.001,0.19291182161019793,-0.03994799321838494,0.00033480700723634196,-0.00011880297398451587,36.20963251590729,0.3911706285048453,1e-06,1.6303126811981201,3.0,-3.0,0.0283203125,1.0,0.0,1.6019923686981201,3.0,-3.0,0.0,0.0,0.0,1.6225470304489136,2.9987480640411377,-3.020051956176758,-0.0035535800270736217,0.4070848226547241,1.732053279876709,-1.7320525646209717,-0.0035535800270736217,1.732053279876709,-1.7320525646209717,77.41455078125,1024.0,1.0,0.00244140625,773.330078125,2048.0,389.0,0.009765625,34.41123920100017,11.719170874000156,1.1756997810002758,40.332625319999806,87.73990396099998,0.21704398877921202,0.006726168122480109,0.0006747878731007567,0.02314873822048114,,
30,1.785011762008071,0.0375,1.747511762008071,0.0,418677,442136,23459,432702,432703,432702.75,0.1431806981563568,0.001,0.24009164917314874,-0.03931892270639796,0.0005167488707229495,-0.0077716096124716165,1.7852228879928589,0.380191618502231,1e-06,1.7303584814071655,4.0,-3.0,0.01708984375,1.0,0.0,1.7132686376571655,3.0,-3.0,0.0,0.0,0.0,1.7223331928253174,3.9942386150360107,-3.0367591381073,0.009278646670281887,0.3773934543132782,1.7320520877838135,-1.7320514917373657,0.009278646670281887,1.7320520877838135,-1.7320514917373657,72.94091796875,1024.0,1.0,0.00146484375,772.181640625,2048.0,414.0,0.00390625,37.25418343800038,11.484515270999964,1.5495717359999617,41.15788485200028,131.87729166100007,0.24938703492365522,0.006635337579319732,0.0008952865078855876,0.02377953736832056,7.68721159200004,32.64551679599981
31,,,,,410178,435964,25786,422818,422819,422818.5,0.13414523005485535,0.001,0.17651615248593902,0.02466794482565352,0.0028456175142699586,0.004139469725747144,167.13969898223877,0.39818225962942555,1e-06,1.774659514427185,4.0,-3.0,0.0107421875,1.0,0.0,1.763917326927185,3.0,-3.0,0.0,0.0,0.0,1.7695144414901733,7.345808029174805,-3.025175094604492,-0.007749485317617655,0.3364305794239044,1.7320528030395508,-1.7320512533187866,-0.007749485317617655,1.7320528030395508,-1.7320512533187866,68.7138671875,1024.0,1.0,0.00244140625,757.103515625,2048.0,407.0,0.001953125,34.85904696599982,11.842119895999986,1.1664276179999433,38.33222954699977,86.29769221200013,0.2477086463482215,0.007001893185846874,0.0006896739487510263,0.02266470692921417,,
32,,,,,418938,452041,33103,434158,434159,434158.75,0.15601705014705658,0.001,0.17651134828940548,-0.0009384191884049054,0.0002673324839822177,0.0169208417801593,1.9731422662734985,0.37449888151776184,1e-06,1.838097333908081,3.0,-3.0,0.01904296875,1.0,0.0,1.819054365158081,3.0,-3.0,0.0,0.0,0.0,1.8310297727584839,4.689931392669678,-5.612581253051758,-0.012284502387046814,0.3087708055973053,1.732050895690918,-1.732050895690918,-0.012284502387046814,1.732050895690918,-1.732050895690918,66.95458984375,1024.0,1.0,0.00244140625,781.01171875,2048.0,399.0,0.00390625,38.462826423000024,11.448809296000036,1.3838733610000418,41.861753904000125,93.25359126600006,0.28049872321200686,0.006592524794214119,0.0007968705922661018,0.02410509629484614,,
33,,,,,423305,457106,33801,435459,435460,435459.75,0.13632285594940186,0.001,0.2430278166229355,-0.032560711743669875,0.0002896517860414139,4.004337034561543e-05,20.580185502767563,0.3788989515710564,1e-06,1.8170415163040161,3.0,-3.0,0.0283203125,1.0,0.0,1.7887212038040161,3.0,-3.0,0.0,0.0,0.0,1.809902310371399,7.524121284484863,-6.722018241882324,-0.001626176293939352,0.34848880767822266,1.7320520877838135,-1.7320513725280762,-0.001626176293939352,1.7320520877838135,-1.7320513725280762,74.77490234375,1024.0,1.0,0.00390625,775.732421875,2048.0,402.0,0.00390625,48.722104497000146,11.92914026399967,1.1699449729999287,41.54909873500037,103.46005419499988,0.3181560836690859,0.006848589487317525,0.0006716722802738535,0.023853581608288925,,
