step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,dara/pi_correctness,dara/w_correctness,dara/active_groups_correctness,dara/pi_format,dara/w_format,dara/active_groups_format,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_s/testing,timing_s/save_checkpoint
0,-2.51875,0.025,-2.54375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,440914,484460,43546,455025,455026,455025.5,-0.00021626919624395669,0.001,0.16015625,1.0,82.0,0.0078125,4.527692569068709,4.0,0.5900691786120015,0.013801739355849644,0.0,0.0,32.084607005119324,0.3628153020381831,1e-06,-2.448647975921631,3.0,-3.0,0.001953125,1.0,0.0,-2.450601100921631,3.0,-3.0,0.0,0.0,0.0,-2.4487624168395996,3.0004899501800537,-3.8432912826538086,-4.948087495293407e-10,1.0,18.571537017822266,-6.164030075073242,-4.948087495293407e-10,18.571537017822266,-6.164030075073242,120.4599609375,1024.0,1.0,0.00537109375,768.26171875,2048.0,418.0,0.0078125,45.779971447002026,11.735909691997222,1.5477874259959208,45.394176519999746,104.56799889399554,0.0008503849927069587,0.18556789749171887,0.006447940660466953,0.02494045746886699,,
2,,,,,439534,472680,33146,458157,458158,458157.75,-0.0012602887582033873,0.001,0.162109375,1.0,83.0,0.03515625,2.1473497877875207,18.0,0.5407544662555058,-0.08703673404331008,0.0024724059117337068,0.00013297242476255632,94.62053406238556,0.3947526876172803,1e-06,-2.4732794761657715,4.0,-3.0,0.0107421875,1.0,0.0,-2.4840216636657715,3.0,-3.0,0.0,0.0,0.0,-2.471846580505371,4.000669479370117,-3.002415895462036,-8.309108956439104e-09,0.9999999403953552,9.172314643859863,-6.1875529289245605,-8.309108956439104e-09,9.172314643859863,-6.1875529289245605,125.53466796875,1024.0,1.0,0.0048828125,769.3046875,2048.0,399.0,0.0078125,50.717964128998574,12.188678760001494,1.2580415289994562,42.0515158010021,106.32288772700122,0.000686467449802746,0.19727324191057224,0.006650918139004248,0.022945980833567747,,
3,,,,,430275,471055,40780,452260,452261,452260.25,0.003639870323240757,0.001,0.23828125,1.0,122.0,0.041015625,2.410295378065479,21.0,0.5573446904459307,-0.024982706093484717,0.003846239993318675,0.0003574025805949444,30.778779089450836,0.38198410899259966,1e-06,-2.230330467224121,4.0,-3.0,0.01171875,1.0,0.0,-2.242049217224121,3.0,-3.0,0.0,0.0,0.0,-2.228964328765869,4.001002311706543,-3.0023765563964844,-1.5342269676921205e-08,1.0000001192092896,7.747126579284668,-5.429933547973633,-1.5342269676921205e-08,7.747126579284668,-5.429933547973633,115.57861328125,1024.0,1.0,0.00537109375,767.7421875,2048.0,421.0,0.00390625,42.05994588499743,12.008691681003256,1.4899216769990744,43.29830134999793,98.96337180599949,0.0008235975176898006,0.17768930054285897,0.006638153408907403,0.02393439471520984,,
4,,,,,446785,466861,20076,457217,457218,457217.25,0.01674395427107811,0.001,0.45703125,1.0,234.0,0.033203125,3.710081654405054,17.0,0.5859475126489997,-0.07368048753414769,0.005199664235988166,0.004273029645617044,30.642948031425476,0.37860264070480065,1e-06,-1.7095919847488403,4.0,-3.0,0.0087890625,1.0,0.0,-1.7183810472488403,3.0,-3.0,0.0,0.0,0.0,-1.7061312198638916,4.000275135040283,-3.004437208175659,-7.858519168735256e-09,0.9999998807907104,8.572617530822754,-4.916345596313477,-7.858519168735256e-09,8.572617530822754,-4.916345596313477,106.18603515625,1024.0,1.0,0.00439453125,786.81640625,2048.0,414.0,0.001953125,38.08684114700009,11.998153209999145,1.4879691719979746,43.71693571400101,95.3912708390053,0.000813600740128448,0.17513687535694783,0.0065604224304743235,0.02390380924713635,,
5,,,,,418463,469296,50833,439239,439239,439239.0,0.0358172245323658,0.001,0.66015625,1.0,338.0,0.099609375,2.5743836117393535,51.0,0.4881813073980397,-0.019387601360935588,0.005653134988749336,0.006616262733336169,4.5760016441345215,0.38045216648014313,1e-06,-1.078529953956604,4.0,-3.0,0.025390625,1.0,0.0,-1.103920578956604,3.0,-3.0,0.0,0.0,0.0,-1.0759860277175903,3.9989728927612305,-3.005751848220825,-3.5477993876043e-09,0.9999998807907104,4.838163375854492,-2.503106117248535,-3.5477993876043e-09,4.838163375854492,-2.503106117248535,100.802734375,1024.0,1.0,0.00439453125,757.0859375,2048.0,422.0,0.001953125,46.83889087600255,11.598356471993611,1.3037058909976622,41.74838629000442,101.58540081200044,0.0007420253500928094,0.22688424403713622,0.006601392676876149,0.02376177109159502,,
6,,,,,438395,449359,10964,442324,442325,442324.75,0.06926489621400833,0.001,0.69140625,1.0,354.0,0.197265625,1.8721513013240958,101.0,0.47649553258504185,0.021939106518402696,0.0036781213046716793,0.00022468141157462793,8.230791449546814,0.39415488369357377,1e-06,-0.2298482209444046,4.0,-3.0,0.06005859375,1.0,0.0,-0.289906769990921,3.0,-3.0,0.0,0.0,0.0,-0.22853267192840576,8.310018539428711,-3.0060842037200928,9.52172563017939e-09,1.0,3.7109508514404297,-3.7297632694244385,9.52172563017939e-09,3.7109508514404297,-3.7297632694244385,100.15771484375,1024.0,1.0,0.00244140625,763.7578125,2047.0,393.0,0.0,35.628833939998,11.838904415999423,1.3351980199950049,40.59321685000032,89.49201098100457,0.0007546480385706457,0.1736949729674293,0.006691296618603991,0.02294310732668719,,
7,,,,,424664,458363,33699,443823,443824,443823.25,0.06954613327980042,0.001,0.720703125,1.0,369.0,0.330078125,1.4776440547921958,169.0,0.4446332483522354,-0.040686781608289285,0.0038035684077429677,0.0003352463531735984,29.470298528671265,0.37641283850222845,1e-06,0.17880921065807343,4.0,-3.0,0.1220703125,1.0,0.0,0.05673890560865402,3.0,-3.0,0.0,0.0,0.0,0.18554037809371948,9.179654121398926,-3.0166773796081543,2.277378063908486e-09,0.9999997615814209,3.014400005340576,-2.9828104972839355,2.277378063908486e-09,3.014400005340576,-2.9828104972839355,104.68994140625,1024.0,1.0,0.00390625,762.15234375,2048.0,389.0,0.009765625,36.68032420000236,11.596966743993107,1.3989596320025157,42.67474848400161,92.45346975999564,0.0007880161933847065,0.1710796119493592,0.0065324240809788055,0.024038143835412865,,
8,,,,,427092,462977,35885,449937,449937,449937.0,0.08838808536529541,0.001,0.681640625,1.0,349.0,0.474609375,1.1984214583232176,243.0,0.3743582829352348,0.007421702146530151,0.0041131344886737005,0.0005635192905056981,5.315329194068909,0.37492628305523523,1e-06,0.7415139675140381,4.0,-3.0,0.21923828125,1.0,0.0,0.5222756862640381,3.0,-3.0,0.0,0.0,0.0,0.7382566928863525,4.000706672668457,-3.0138797760009766,-3.0870739298194394e-09,1.0,2.745161771774292,-2.864365816116333,-3.0870739298194394e-09,2.745161771774292,-2.864365816116333,96.5390625,1024.0,1.0,0.0029296875,782.244140625,2048.0,389.0,0.013671875,37.9694800340003,12.031637421001506,1.5547666269994806,43.470328527000675,95.125824292998,0.0008638801804471963,0.19204438796835951,0.006685178936718644,0.02415356401396233,,
9,,,,,422183,456516,34333,441155,441156,441155.25,0.06572182476520538,0.001,0.708984375,1.0,363.0,0.56640625,1.118804780974337,290.0,0.3380105115713612,0.01315665818871029,0.003810584747923478,0.00027358768590690283,4.205916583538055,0.38582223666737453,1e-06,1.0196114778518677,4.0,-3.0,0.4052734375,1.0,0.0,0.6143379807472229,3.0,-3.0,0.0,0.0,0.0,1.0156246423721313,3.9978137016296387,-3.0130841732025146,6.95606861000897e-09,0.9999998807907104,2.5734987258911133,-2.598160982131958,6.95606861000897e-09,2.5734987258911133,-2.598160982131958,102.82470703125,1024.0,1.0,0.001953125,758.806640625,2048.0,414.0,0.005859375,39.352964701996825,11.727896741998848,1.2875347189983586,41.3184411320035,93.79469587699714,0.0007296381030251587,0.18687449107009912,0.006646127832548093,0.023414909565285406,,
