step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/adv,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_per_token_ms/gen,timing_s/testing,timing_s/save_checkpoint
10,1.5110953625291585,0.025,1.4860953625291586,0.0,428850,464407,35557,440874,440875,440874.5,0.09615010023117065,0.001,0.32731528853376707,0.014008787708977859,0.0009444339821736018,0.00011151561302540358,2.7596670985221863,0.37383653107449316,1e-06,1.1850043535232544,4.0,-3.0,0.00341796875,1.0,0.0,1.1815863847732544,3.0,-3.0,0.0,0.0,0.0,1.1875951290130615,11.024886131286621,-3.0223073959350586,-0.04315914213657379,0.5773276090621948,1.7320523262023926,-1.7320513725280762,-0.04315914213657379,1.7320523262023926,-1.7320513725280762,89.0927734375,1024.0,1.0,0.00390625,771.990234375,2048.0,389.0,0.005859375,36.14805340798921,11.886643762991298,1.2252309920004336,42.69035591300053,129.92219352099346,0.0006947731111690706,0.006740378363338829,0.02420777109642343,0.1981127764026987,23.446460943989223,14.447505839998485
11,,,,,434071,455090,21019,442009,442010,442009.25,0.09310217201709747,0.001,0.33759451729636036,0.04666638257162225,0.010278123040353098,0.012820900665540267,26.150539219379425,0.3626379693616724,1e-06,1.339853286743164,3.0,-3.0,0.005859375,1.0,0.0,1.333993911743164,3.0,-3.0,0.0,0.0,0.0,1.3495004177093506,7.325364589691162,-3.0190529823303223,-0.009803061373531818,0.5159916281700134,1.7320514917373657,-1.732051134109497,-0.009803061373531818,1.7320514917373657,-1.732051134109497,88.28759765625,1024.0,1.0,0.0029296875,775.01171875,2048.0,407.0,0.013671875,35.044458609991125,11.397198167003808,1.348373246990377,44.09120851800253,91.9880505970068,0.0007626385912683824,0.006446244149304459,0.024937944464964553,0.19381603430058195,,
12,,,,,409980,449399,39419,427262,427263,427262.25,0.10524949431419373,0.001,0.2749645878959979,0.05217549596480759,0.0007668635974239026,4.828413719743756e-05,36.9021754860878,0.37216211125819404,1e-06,1.4181478023529053,3.0,-3.0,0.005859375,1.0,0.0,1.4122884273529053,3.0,-3.0,0.0,0.0,0.0,1.4178791046142578,6.7779998779296875,-3.01877760887146,-0.01978123188018799,0.5912152528762817,1.7320520877838135,-1.7320526838302612,-0.01978123188018799,1.7320520877838135,-1.7320526838302612,73.16650390625,1024.0,1.0,0.0009765625,761.330078125,2048.0,399.0,0.001953125,32.73633317000349,10.866509858999052,1.2467546490079258,41.42701502199634,86.39196562601137,0.0007295019914630451,0.00635822019087753,0.024239805308096104,0.21846797137043938,,
13,,,,,408669,452374,43705,432258,432259,432258.25,0.10468615591526031,0.001,0.26242627636078864,-0.02179837220859143,0.0004629311226909199,-1.5862267138154786e-05,2.4312636852264404,0.3780558793957768,1e-06,1.466354250907898,3.0,-3.0,0.0048828125,1.0,0.0,1.461471438407898,3.0,-3.0,0.0,0.0,0.0,1.4655340909957886,10.654552459716797,-3.0245261192321777,-0.01030060276389122,0.543449878692627,1.7320514917373657,-1.7320516109466553,-0.01030060276389122,1.7320514917373657,-1.7320516109466553,76.43212890625,1024.0,1.0,0.00146484375,767.822265625,2048.0,414.0,0.001953125,34.86684019101085,10.926770256002783,1.196967953001149,41.30896253600076,88.37487451400375,0.0006922759444158376,0.00631958456316495,0.023891367334227146,0.22274434266902732,,
14,,,,,408118,455993,47875,428686,428687,428686.5,0.09676682949066162,0.001,0.2718920847722169,0.008997072867149937,0.0007551425650458911,3.9677076497825726e-05,2.121953547000885,0.38124826126299394,1e-06,1.390598177909851,3.0,-3.0,0.00927734375,1.0,0.0,1.381320834159851,3.0,-3.0,0.0,0.0,0.0,1.3925902843475342,16.239164352416992,-3.016444683074951,-0.006640393752604723,0.5326719880104065,1.7320528030395508,-1.732050895690918,-0.006640393752604723,1.7320528030395508,-1.732050895690918,75.2119140625,1024.0,1.0,0.00146484375,762.06640625,2048.0,399.0,0.00390625,36.14187983899319,10.941319560995908,1.5753775820048759,40.62924265098991,89.36597056299797,0.0009187235788885793,0.006380723186405396,0.023694029699436483,0.23463572872867802,,
15,,,,,423934,441429,17495,431102,431103,431102.75,0.10813436657190323,0.001,0.27766665044639793,0.025227003206964582,0.0018834224039372721,0.004149776393855323,23.749594420194626,0.37926988063624467,1e-06,1.3326003551483154,3.0,-3.0,0.01171875,1.0,0.0,1.3208816051483154,3.0,-3.0,0.0,0.0,0.0,1.343233585357666,17.907079696655273,-3.025735378265381,-0.017668988555669785,0.48151713609695435,1.732051134109497,-1.7320514917373657,-0.017668988555669785,1.732051134109497,-1.7320514917373657,79.91943359375,1024.0,1.0,0.0029296875,762.078125,2048.0,399.0,0.009765625,34.35908668700722,10.991867838005419,1.364378760001273,41.10067453200463,87.9078812289954,0.0007912143682690918,0.006374273788560511,0.02383461630203277,0.2099226313548631,,
16,,,,,410649,443123,32474,423988,423989,423988.75,0.10759042948484421,0.001,0.17604440543800592,-0.007155621690409524,0.00046970612727039097,8.134720175283812e-05,1.7402771711349487,0.39174392612340886,1e-06,1.6829235553741455,3.0,-3.0,0.00927734375,1.0,0.0,1.6736462116241455,3.0,-3.0,0.0,0.0,0.0,1.6776161193847656,2.9985668659210205,-3.017549991607666,-0.005033631343394518,0.4007895588874817,1.7320512533187866,-1.7320513725280762,-0.005033631343394518,1.7320512533187866,-1.7320513725280762,70.84130859375,1024.0,1.0,0.00244140625,757.26171875,1973.0,399.0,0.0,33.30715919000795,10.885271578998072,1.3632792400021572,39.07206959101313,84.72542694800359,0.0008038416349503125,0.006418372880765157,0.023038388159481313,0.2295731353088091,,
17,,,,,414036,449307,35271,426501,426501,426501.0,0.09582075476646423,0.001,0.3394821042727147,0.02749209753707354,0.0003839738866580384,-0.03258736202977681,16.5135195851326,0.3867890175475524,1e-06,1.5463067293167114,4.0,-3.0,0.00927734375,1.0,0.0,1.5370293855667114,3.0,-3.0,0.0,0.0,0.0,1.5657613277435303,16.085731506347656,-3.0194613933563232,-0.01813671365380287,0.4844757914543152,1.7320514917373657,-1.7320520877838135,-0.01813671365380287,1.7320514917373657,-1.7320520877838135,74.4609375,1024.0,1.0,0.0048828125,758.548828125,2048.0,416.0,0.005859375,35.030589775007684,11.304938107990893,1.1963564400066389,39.85269056299876,87.4888894570031,0.0007012623886032148,0.006626560141705935,0.023360256226244932,0.22971481071639704,,
18,,,,,422113,438786,16673,427882,427883,427882.5,0.09836146980524063,0.001,0.17353973451203533,0.0507732005789876,0.000511286710596843,4.13556477019128e-05,43.74255573749542,0.3744643615051723,1e-06,1.6136573553085327,3.0,-3.0,0.00830078125,1.0,0.0,1.6053565740585327,3.0,-3.0,0.0,0.0,0.0,1.6242159605026245,15.31357192993164,-3.0196533203125,-0.011767632327973843,0.46232303977012634,1.7320512533187866,-1.7320531606674194,-0.011767632327973843,1.7320512533187866,-1.7320531606674194,72.9482421875,1024.0,1.0,0.0029296875,762.759765625,2048.0,393.0,0.00390625,36.0465222060011,11.368742374994326,1.181974890991114,41.30595547000121,90.00320437300252,0.0006905954853208031,0.006642444114327138,0.024133935992942692,0.24127847900240365,,
19,,,,,426503,440046,13543,431374,431375,431374.25,0.10408840328454971,0.001,0.2862142910217417,0.036305344342414676,0.013837633028241068,0.008487874381459952,11.076392084360123,0.3629452379901658,1e-06,1.6428396701812744,4.0,-3.0,0.01025390625,1.0,0.0,1.6325857639312744,3.0,-3.0,0.0,0.0,0.0,1.646657109260559,11.733875274658203,-3.0242176055908203,0.0029554518405348063,0.408523291349411,1.7320514917373657,-1.7320512533187866,0.0029554518405348063,1.7320514917373657,-1.7320512533187866,73.33642578125,1024.0,1.0,0.0009765625,769.19140625,2048.0,389.0,0.005859375,32.48004968500754,11.277397938989452,1.4281640510016587,42.95055629899434,88.20988231399679,0.0008276827203997797,0.006535738943034645,0.024891701520775952,0.2162554159315517,,
20,1.7201253954321145,0.0375,1.6826253954321146,0.0,422695,442935,20240,431164,431165,431164.25,0.09195497632026672,0.001,0.20347576716850543,0.007283955748225081,0.0006172949335826882,-0.00014252417330963313,26.304699420928955,0.36936588761899675,1e-06,1.4992694854736328,3.0,-3.0,0.0107421875,1.0,0.0,1.4885272979736328,3.0,-3.0,0.0,0.0,0.0,1.5217623710632324,13.608857154846191,-3.0218327045440674,0.007987890392541885,0.41183221340179443,1.7320516109466553,-1.7320524454116821,0.007987890392541885,1.7320516109466553,-1.7320524454116821,75.17431640625,1024.0,1.0,0.0029296875,766.943359375,1969.0,422.0,0.0,29.209258952003438,11.01869751799677,1.207484728001873,42.14702503400622,107.16819547800696,0.0007001303609946053,0.0063889211118481936,0.024437917240359226,0.1897234874153396,8.20711914599815,14.945403577992693
21,,,,,428709,454855,26146,441312,441312,441312.0,0.08783559501171112,0.001,0.2554227943221728,-0.0021368247456848622,0.0004515527553545932,-0.020234342950000914,10.574114680290222,0.3716111913374121,1e-06,1.5938295125961304,4.0,-3.0,0.0107421875,1.0,0.0,1.5830873250961304,3.0,-3.0,0.0,0.0,0.0,1.6125293970108032,15.264788627624512,-3.0225141048431396,0.004417696036398411,0.42708590626716614,1.732050895690918,-1.7320513725280762,0.004417696036398411,1.732050895690918,-1.7320513725280762,78.908203125,1024.0,1.0,0.00439453125,783.029296875,2048.0,407.0,0.0078125,35.49757248700189,11.320824932990945,1.2602260550047504,42.9650893999933,91.13439968400053,0.0007139087850572556,0.006413164004712621,0.024339406927521404,0.21965775900968967,,
22,,,,,402782,443802,41020,421268,421269,421268.75,0.09506535530090332,0.001,0.2603522853127548,-0.023695918332253183,0.0004431192314119211,-0.00805497004096521,1.9522894024848938,0.39230357641913843,1e-06,1.5857146978378296,4.0,-3.0,0.017578125,1.0,0.0,1.5681363344192505,3.0,-3.0,0.0,0.0,0.0,1.594686508178711,10.282430648803711,-3.0205252170562744,0.005464299116283655,0.40155521035194397,1.732050895690918,-1.7320514917373657,0.005464299116283655,1.732050895690918,-1.7320514917373657,73.74169921875,1024.0,1.0,0.001953125,749.048828125,2048.0,418.0,0.00390625,30.433447071001865,10.875691089997417,1.1335128399950918,38.75584380800137,81.33951535499364,0.0006726779757548428,0.006454128801387129,0.022999477060665772,0.20151531270734832,,
23,,,,,432826,448564,15738,441336,441337,441336.75,0.09755705296993256,0.001,0.2048521955896701,0.034859375396211235,0.0007150429072290925,-0.002070103236097306,17.631208062171936,0.39380757336187233,1e-06,1.5327491760253906,3.0,-3.0,0.01123046875,1.0,0.0,1.5215187072753906,3.0,-3.0,0.0,0.0,0.0,1.5476117134094238,10.327224731445312,-3.0177295207977295,0.013897592201828957,0.4377393126487732,1.7320516109466553,-1.732054352760315,0.013897592201828957,1.7320516109466553,-1.732054352760315,83.80419921875,1024.0,1.0,0.0029296875,778.181640625,1813.0,407.0,0.0,39.40517904800072,11.372567714992329,1.1965579300012905,40.56338630600658,92.63162909800303,0.0006778032477474913,0.006442114618254841,0.0229775711551364,0.2295924340474665,,
24,,,,,424481,443235,18754,435077,435078,435077.75,0.1212906539440155,0.001,0.27204149555681006,-0.010665987934251981,0.012873105779622815,-0.006638420455861446,2.812676966190338,0.3844918104895922,1e-06,1.6679414510726929,4.0,-3.0,0.01220703125,1.0,0.0,1.6557344198226929,3.0,-3.0,0.0,0.0,0.0,1.667715072631836,10.076257705688477,-3.022083044052124,-0.01340414397418499,0.4234023690223694,1.7320520877838135,-1.7320520877838135,-0.01340414397418499,1.7320520877838135,-1.7320520877838135,79.39208984375,1024.0,1.0,0.0029296875,770.369140625,2048.0,393.0,0.01171875,34.730680325999856,11.055092737995437,1.265332445007516,40.95091407700966,88.09766980500717,0.0007270726008210694,0.006352366179375662,0.023530802297411012,0.21360238830222242,,
25,,,,,419414,450433,31019,435475,435475,435475.0,0.11935290694236755,0.001,0.24676934122268496,-0.04038781219900682,0.011270347673542284,-0.013287336054229949,10.777879387140274,0.3886775261637782,1e-06,1.7288663387298584,3.0,-3.0,0.02197265625,1.0,0.0,1.7068936824798584,3.0,-3.0,0.0,0.0,0.0,1.740505576133728,10.53488540649414,-3.0301051139831543,0.0112126674503088,0.38917815685272217,1.732053279876709,-1.7320526838302612,0.0112126674503088,1.732053279876709,-1.7320526838302612,76.013671875,1024.0,1.0,0.0029296875,774.5234375,2048.0,402.0,0.005859375,34.15303875900281,11.217412666999735,1.2002513900079066,40.534834559002775,87.23823091801023,0.0006890472415224219,0.006439756970549248,0.023270471645331404,0.21938538219765932,,
26,,,,,420912,441748,20836,431502,431503,431502.25,0.1208108589053154,0.001,0.19353142599093504,0.006336994790311517,0.00048444961029072775,-0.004603915534391553,3.235166758298874,0.384331014018001,1e-06,1.7153847217559814,3.0,-3.0,0.02490234375,1.0,0.0,1.6904823780059814,3.0,-3.0,0.0,0.0,0.0,1.7182519435882568,8.738799095153809,-3.0276269912719727,-0.018769778311252594,0.365805983543396,1.7320512533187866,-1.7320525646209717,-0.018769778311252594,1.7320512533187866,-1.7320525646209717,77.99462890625,1024.0,1.0,0.0029296875,764.783203125,2048.0,418.0,0.0078125,40.29462260499713,10.902038761007134,1.1582966319983825,40.628387867996935,93.06974480999634,0.0006710837730268976,0.006316327876046494,0.023538920056614385,0.2522623540846108,,
27,,,,,425379,444501,19122,433957,433957,433957.0,0.11409986019134521,0.001,0.20639466738392567,0.0032256088251697607,0.000435711900254005,-0.005214759447975164,1.9622126519680023,0.37230270493578743,1e-06,1.6793266534805298,3.0,-3.0,0.02587890625,1.0,0.0,1.6534477472305298,3.0,-3.0,0.0,0.0,0.0,1.6817079782485962,8.527750968933105,-3.0232808589935303,-0.010827869176864624,0.34566929936408997,1.7320523262023926,-1.7320517301559448,-0.010827869176864624,1.7320523262023926,-1.7320517301559448,77.69921875,1024.0,1.0,0.00244140625,769.873046875,2048.0,389.0,0.00390625,32.428034987009596,11.548078186999192,1.3024836060067173,42.13407538300089,87.47455393600103,0.0007503529186110129,0.006652777917512099,0.024273185697546582,0.20378585155981094,,
28,,,,,420536,435176,14640,428657,428658,428657.25,0.120152048766613,0.001,0.2565248841419816,0.019185836194083095,0.01405604591959023,-0.03383917239817232,131.07843458652496,0.38005223977385083,1e-06,1.805878758430481,4.0,-3.0,0.025390625,1.0,0.0,1.780488133430481,3.0,-3.0,0.0,0.0,0.0,1.8067771196365356,6.691688537597656,-3.028913736343384,0.008965570479631424,0.35308799147605896,1.7320517301559448,-1.7320514917373657,0.008965570479631424,1.7320517301559448,-1.7320514917373657,71.20556640625,1024.0,1.0,0.00341796875,766.015625,2048.0,399.0,0.00390625,33.7533467609901,11.586335312007577,1.2080180399934761,40.75306852499489,87.40215396501299,0.0007045361066408396,0.006757342440847307,0.023767863791522764,0.23145839826776635,,
29,,,,,395211,455340,60129,421900,421900,421900.0,0.12837110459804535,0.001,0.2087646370817875,-0.013132288506061867,0.0009559589129037641,-0.00014558474764459693,2.0769968926906586,0.3674828353090304,1e-06,1.8134599924087524,4.0,-3.0,0.04638671875,1.0,0.0,1.7670732736587524,3.0,-3.0,0.0,0.0,0.0,1.8116919994354248,5.003312110900879,-3.0154776573181152,0.004885380621999502,0.3807050585746765,1.7320514917373657,-1.7320516109466553,0.004885380621999502,1.7320514917373657,-1.7320516109466553,72.087890625,1024.0,1.0,0.0029296875,751.935546875,2048.0,399.0,0.00390625,33.49929119399167,10.907108878993313,1.467989769007545,41.42444757699559,87.37577350999345,0.0008698683153635607,0.006463088930429789,0.024546366186890014,0.2269046248475417,,
30,1.8081573657691479,0.1125,1.6956573642790318,0.0,409037,446749,37712,428802,428803,428802.5,0.12332311272621155,0.001,0.18909516711054103,-0.03303047155869925,0.0015690640637850656,0.0006053967564574643,3.409506767988205,0.3807240546605378,1e-06,1.723585605621338,4.0,-3.0,0.08251953125,1.0,0.0,1.641066074371338,3.0,-3.0,0.0,0.0,0.0,1.717151403427124,4.000247001647949,-3.02189564704895,0.021464407444000244,0.49857285618782043,1.7320510149002075,-1.7320517301559448,0.021464407444000244,1.7320510149002075,-1.7320517301559448,70.3154296875,1024.0,1.0,0.00048828125,767.189453125,2048.0,420.0,0.00390625,35.07166492201213,10.93902705500659,1.3898127479915274,40.70790349198796,109.69211757999437,0.000810287223133918,0.006377660493471115,0.02373348073529653,0.2435430809967094,7.454352707005455,14.040407435997622
31,,,,,420478,442026,21548,435308,435309,435308.25,0.1157991886138916,0.001,0.2125387280913336,-0.08796949154930189,0.0020585070160450414,0.0012472019524076522,3.4912885427474976,0.3811628614380094,1e-06,1.787192463874817,4.0,-3.0,0.125,1.0,0.0,1.662192463874817,3.0,-3.0,0.0,0.0,0.0,1.7830543518066406,5.35123348236084,-3.0214157104492188,0.04463657736778259,0.5811343789100647,1.732051968574524,-1.7320512533187866,0.04463657736778259,1.732051968574524,-1.7320512533187866,76.02392578125,1024.0,1.0,0.001953125,774.1875,2048.0,422.0,0.00390625,34.49559643899556,11.37342303499463,1.2086397259990918,41.29838682699483,88.48417819000315,0.000694128658254864,0.006531821436300961,0.023717898079691133,0.22155594802080683,,
32,,,,,417071,443342,26271,431352,431353,431352.5,0.12013425678014755,0.001,0.23142920753785542,-0.0824122774148626,0.003964237685847495,0.0012423914419222065,4.061794638633728,0.386547051706451,1e-06,1.9036710262298584,4.0,-3.0,0.28125,1.0,0.0,1.6224210262298584,3.0,-3.0,0.0,0.0,0.0,1.8975729942321777,4.001042366027832,-3.022245168685913,0.06846633553504944,0.6008341312408447,1.7320510149002075,-1.732051134109497,0.06846633553504944,1.7320510149002075,-1.732051134109497,79.9482421875,1024.0,1.0,0.0009765625,762.537109375,2048.0,402.0,0.005859375,32.938603201997466,11.03645817800134,1.328353788005188,40.31283459100814,85.71926032699412,0.0007698771816583816,0.0063964264597987375,0.023364205951633608,0.20117143172461105,,
33,,,,,421983,443805,21822,435940,435941,435940.25,0.11034081131219864,0.001,0.28569237271259573,0.02610076912518205,0.014676928732961673,0.036886436531795914,80.7463870048523,0.379029253849442,1e-06,2.173313856124878,4.0,-3.0,0.47802734375,1.0,0.0,1.6952863931655884,3.0,-3.0,0.0,0.0,0.0,2.171628713607788,6.385189056396484,-3.7970564365386963,0.01611977256834507,0.6825173497200012,1.732050895690918,-1.732050895690918,0.01611977256834507,1.732050895690918,-1.732050895690918,91.32080078125,1024.0,1.0,0.00732421875,760.125,2048.0,389.0,0.001953125,35.14976667400333,11.290106885993737,1.2661762040079338,41.58017052200739,89.45585108001251,0.0007261179737406296,0.00647457242477251,0.02384510865996395,0.18794154083145745,,
