step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,gdpo/pi_correctness,gdpo/w_correctness,gdpo/active_groups_correctness,gdpo/pi_format,gdpo/w_format,gdpo/active_groups_format,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/adv,timing_per_token_ms/ref,timing_per_token_ms/gen,timing_per_token_ms/update_actor,timing_s/testing,timing_s/save_checkpoint
0,-2.51875,0.025,-2.54375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,444328,459850,15522,452100,452101,452100.25,2.1220272174105048e-05,0.001,0.146484375,1.0,75.0,0.0234375,1.0,12.0,0.6839602710679173,-0.03390693356777774,0.0,0.0,5.0194315910339355,0.3500988119848399,1e-06,-2.462324619293213,4.0,-3.0,0.0068359375,1.0,0.0,-2.469160556793213,3.0,-3.0,0.0,0.0,0.0,-2.4620368480682373,3.9999961853027344,-3.0016226768493652,-6.066283919636817e-09,0.9999997615814209,8.405543327331543,-3.8786089420318604,-6.066283919636817e-09,8.405543327331543,-3.8786089420318604,117.90673828125,1024.0,1.0,0.00341796875,765.1015625,2048.0,420.0,0.00390625,50.53312366899627,11.440008618999855,1.445350394002162,46.72668867900211,110.26070223299757,0.0007992422001548118,0.006326035331212411,0.2092702855764258,0.02583867664251574,,
2,,,,,442079,465187,23108,449130,449131,449130.5,-0.0006095208809711039,0.001,0.1484375,1.0,76.0,0.015625,1.0,8.0,0.5507911175489426,-0.058538685583819944,0.002715822553727776,0.00028200611074377473,113.27853989601135,0.3833742695832326,1e-06,-2.4093832969665527,4.0,-3.0,0.0048828125,1.0,0.0,-2.4142661094665527,3.0,-3.0,0.0,0.0,0.0,-2.408524751663208,4.00032901763916,-3.002441644668579,3.5187166513850343e-09,0.9999998807907104,9.189756393432617,-4.576875686645508,3.5187166513850343e-09,9.189756393432617,-4.576875686645508,118.5751953125,1024.0,1.0,0.00439453125,758.6328125,2048.0,389.0,0.001953125,47.301775681000436,11.690107091002574,1.4354510490011307,42.37489141400147,102.90832379700441,0.0007990166827910434,0.006507077058339711,0.19478416287545167,0.023587182018367417,,
3,,,,,455499,470517,15018,462770,462771,462770.25,0.013935700058937073,0.001,0.3359375,1.0,172.0,0.0234375,1.0,12.0,0.6616594707593322,-0.014297020112280734,0.01397977740271017,0.017005658267407853,122.65306413173676,0.37852166466251536,1e-06,-2.1140193939208984,4.0,-3.0,0.00634765625,1.0,0.0,-2.1203670501708984,3.0,-3.0,0.0,0.0,0.0,-2.113304853439331,4.000116348266602,-3.2162981033325195,-8.248655980480635e-09,1.0000001192092896,5.747448921203613,-2.8597207069396973,-8.248655980480635e-09,5.747448921203613,-2.8597207069396973,115.61572265625,1024.0,1.0,0.00830078125,788.232421875,2048.0,407.0,0.00390625,39.906375187994854,12.0270788179987,1.263489593002305,44.29612571399775,97.59170550800627,0.0006825685061876303,0.006497327139114225,0.16853706669029547,0.023929868932800753,,
4,,,,,440166,454350,14184,449593,449594,449593.5,0.07389432191848755,0.001,0.65625,1.0,336.0,0.01171875,1.0,6.0,0.4893242255333931,-0.032391295558021914,0.00905827369781271,0.004009371347614609,214.73861169815063,0.3777218045336549,1e-06,-1.1828758716583252,4.0,-3.0,0.00390625,1.0,0.0,-1.1867821216583252,3.0,-3.0,0.0,0.0,0.0,-1.1827449798583984,4.0005202293396,-3.1900970935821533,2.4677868637468237e-09,1.0000001192092896,4.356350421905518,-2.1644370555877686,2.4677868637468237e-09,4.356350421905518,-2.1644370555877686,96.6123046875,1024.0,1.0,0.00390625,781.5,2048.0,399.0,0.009765625,35.035591569001554,11.286655497002357,1.6160631980019389,43.105982688997756,91.14932226199744,0.0008986246453751771,0.006276033515276776,0.17707084517998178,0.02396942053710616,,
5,,,,,438197,446448,8251,442154,442154,442154.0,0.1438029706478119,0.001,0.724609375,1.0,371.0,0.0078125,1.0,4.0,0.36742949537162123,0.007074514259423675,0.0043533801518637555,0.0008802914328792463,141.7309765815735,0.3851048323096675,1e-06,-0.2306152880191803,3.5,-3.0,0.00244140625,1.0,0.0,-0.2330566942691803,3.0,-3.0,0.0,0.0,0.0,-0.23212724924087524,3.502880811691284,-3.0112545490264893,-1.9512963689294338e-08,0.9999999403953552,3.2677063941955566,-2.4593422412872314,-1.9512963689294338e-08,3.2677063941955566,-2.4593422412872314,85.529296875,1024.0,1.0,0.00244140625,778.052734375,2048.0,393.0,0.005859375,34.73732946900418,11.711153837000893,1.3640857760037761,41.48728151899559,89.40847471799498,0.0007712730044304564,0.006621648699887874,0.19831317775915244,0.023457483998219845,,
6,,,,,417838,425813,7975,423083,423084,423083.75,0.16329652070999146,0.001,0.685546875,1.0,351.0,0.005859375,1.0,3.0,0.35390265339187216,-0.01481358940613323,0.002096973334638668,6.814517558138635e-05,26.65161246061325,0.3698681582942079,1e-06,0.5129646062850952,3.0,-3.0,0.00146484375,1.0,0.0,0.5114997625350952,3.0,-3.0,0.0,0.0,0.0,0.5097934007644653,2.9989280700683594,-3.0738096237182617,1.8206176122248507e-08,1.0000001192092896,2.025752305984497,-2.092372417449951,1.8206176122248507e-08,2.025752305984497,-2.092372417449951,85.12060546875,1024.0,1.0,0.0029296875,741.21484375,2048.0,418.0,0.001953125,36.848459250002634,11.241002121001657,1.5265017290003016,41.299558302998776,91.02989661600441,0.000902009193806369,0.006642303161609053,0.21137551412003094,0.024403890661718143,,
7,,,,,420102,469211,49109,434767,434768,434767.75,0.12959007918834686,0.001,0.595703125,1.0,305.0,0.01171875,1.0,6.0,0.3525183493721074,0.012309950374966037,0.001879858222372573,-0.0002583117607016526,3.94264417886734,0.37724651176323926,1e-06,0.7758629322052002,3.0,-3.0,0.0029296875,1.0,0.0,0.7729332447052002,3.0,-3.0,0.0,0.0,0.0,0.7714577913284302,2.9999172687530518,-3.0203118324279785,-8.695657527368894e-09,1.0,2.0912387371063232,-2.0433404445648193,-8.695657527368894e-09,2.0912387371063232,-2.0433404445648193,89.10888671875,1024.0,1.0,0.00341796875,760.046875,2048.0,413.0,0.0078125,43.81286397099757,10.888018716999795,1.4304288420025841,41.66608726599952,97.89628282899503,0.000822524693932901,0.006260824725959892,0.24007706496615014,0.023958818970588044,,
8,,,,,417610,434561,16951,427225,427226,427225.5,0.12103531509637833,0.001,0.595703125,1.0,305.0,0.01171875,1.0,6.0,0.3556781778378146,0.023264128415446197,0.007510574208156738,-0.0009820498853514437,14.674602091312408,0.3772002671109402,1e-06,1.1524124145507812,3.0,-3.0,0.00390625,1.0,0.0,1.1485061645507812,3.0,-3.0,0.0,0.0,0.0,1.1496531963348389,4.5627593994140625,-3.0180978775024414,-1.4896979205758498e-09,1.0000001192092896,2.0665228366851807,-2.0458295345306396,-1.4896979205758498e-09,2.0665228366851807,-2.0458295345306396,80.0224609375,1024.0,1.0,0.001953125,754.40234375,2048.0,389.0,0.001953125,39.94111493199307,10.98665752299712,1.2889574199944036,40.8930816639986,93.22810003599443,0.0007542605836931572,0.006429074062173911,0.24371279384445937,0.02392944806899319,,
9,,,,,411228,463942,52714,435750,435751,435750.5,0.12064117193222046,0.001,0.5,1.0,256.0,0.00390625,1.0,2.0,0.3032286937038104,-0.09543087656299273,0.0016717254164783904,-0.010721428157739864,299.9106812477112,0.36973063570011766,1e-06,1.2950738668441772,3.0,-3.0,0.00146484375,1.0,0.0,1.2936090230941772,3.0,-3.0,0.0,0.0,0.0,1.2914271354675293,3.0001449584960938,-3.0162465572357178,6.892499904154192e-09,1.0000001192092896,2.216365337371826,-2.216665506362915,6.892499904154192e-09,2.216365337371826,-2.216665506362915,86.4775390625,1024.0,1.0,0.0029296875,764.59765625,2048.0,413.0,0.00390625,34.89321962900431,11.081780175001768,2.0810042239972972,42.63697901600244,90.7963365579999,0.0011939195847149328,0.0063578700282626,0.1970188453751104,0.024461807281920756,,
