model_size,method,step,completed_seeds,expected_seeds,seeds,live_accuracy_mean,live_accuracy_sd,live_format_mean,live_format_sd,non_live_accuracy_mean,non_live_accuracy_sd,non_live_format_mean,non_live_format_sd,multi_turn_accuracy_mean,multi_turn_accuracy_sd,multi_turn_format_mean,multi_turn_format_sd,average_accuracy_mean,average_accuracy_sd,average_format_mean,average_format_sd
1.5b,dvao,100,3,3,"4,5,3",62.81766592647422,3.042302026508441,66.86405132000986,57.072741935476124,76.75,3.435668704116337,66.63194444444444,57.56077831502525,3.416666666666667,1.4648663192705786,63.47351875400396,27.698238391289255,47.66144419771363,1.8456986590272548,65.65650483948609,47.33501419136527
1.5b,gd2po_hard,100,3,3,"4,5,0",66.22255119664447,3.589996972532968,66.64199358499877,57.71367126989428,77.86111111111111,2.3086805294446964,66.66666666666667,57.735026918962575,3.5,1.2054563451241194,57.50384197621245,45.2925316379618,49.194554102585194,2.3441246608354267,63.60416740929263,53.42100887368551
1.5b,grpo,100,3,3,"0,2,5",64.15001233654084,0.4076662137147343,99.85196150999259,0.07401924500370427,78.25,0.6137883276106672,100.0,0.0,2.416666666666667,0.590726953281576,39.956720513841475,10.14162117914891,48.2722263344025,0.07955478064707648,79.93622734127803,3.3577535382459827
1.5b,gdpo,100,3,3,"0,1,5",67.77695534172219,1.38938151742424,66.93807056501358,57.20085100394283,80.44444444444444,0.8347210667398159,66.70833333333333,57.662858135313876,4.125,1.4737282653189494,80.25327933081118,15.76376376216482,50.78213326205554,0.6492256777676103,71.29989440971936,43.53552908330009
1.5b,dara,100,3,3,"0,1,2",68.54182087342708,0.6058736322629481,99.9259807549963,0.07401924500370427,80.58333333333333,0.9342536385324489,100.0,0.0,4.833333333333333,0.14433756729740643,92.80432868010068,2.4105323537623495,51.31949584669792,0.42714357132575786,97.576769811699,0.8198476851741646
